Treatment,Groups,Number,First_instar,Second_instar,Third_instar,Fourth_instar,Fifth_instar
dsSumf1,A,10,2,2,3,4,2
dsSumf1,A,11,2,n/a,n/a,n/a,n/a
dsSumf1,A,12,2,3,4,2,3
dsSumf1,A,13,2,4,4,3,2
dsSumf1,A,14,2,n/a,n/a,n/a,n/a
dsSumf1,A,15,2,5,4,2,2
dsSumf1,A,16,2,3,n/a,n/a,n/a
dsSumf1,A,17,2,3,3,n/a,n/a
dsSumf1,A,18,2,3,3,3,3
dsSumf1,B,1,2,4,3,3,2
dsSumf1,B,2,2,4,5,n/a,n/a
dsSumf1,B,3,2,5,4,3,2
dsSumf1,B,4,2,4,3,2,2
dsSumf1,B,5,2,n/a,n/a,n/a,n/a
dsSumf1,B,6,2,3,3,4,3
dsSumf1,B,7,2,3,4,4,4
dsSumf1,B,8,2,4,n/a,n/a,n/a
dsSumf1,B,9,2,3,3,3,1
dsSumf1,B,10,2,5,3,4,2
dsSumf1,B,11,2,4,n/a,n/a,n/a
dsSumf1,B,12,2,6,5,5,2
dsSumf1,B,13,2,n/a,n/a,n/a,n/a
dsSumf1,B,14,2,4,n/a,n/a,n/a
dsSumf1,B,15,2,3,3,2,2
dsSumf1,B,16,2,3,3,n/a,n/a
dsSumf1,B,17,2,3,2,2,3
dsSumf1,B,18,2,4,3,2,2
dsSumf1,C,1,2,5,3,4,2
dsSumf1,C,2,2,5,2,2,3
dsSumf1,C,3,2,4,n/a,n/a,n/a
dsSumf1,C,4,2,4,n/a,n/a,n/a
dsSumf1,C,5,2,3,4,3,1
dsSumf1,C,6,2,4,4,3,3
dsSumf1,C,7,2,n/a,n/a,n/a,n/a
dsSumf1,C,8,2,3,4,3,4
dsSumf1,C,9,2,2,3,5,2
dsSumf1,C,10,2,4,n/a,n/a,n/a
dsSumf1,C,11,2,n/a,n/a,n/a,n/a
dsSumf1,C,12,2,3,5,2,2
dsSumf1,C,13,2,5,2,2,3
dsSumf1,C,14,2,6,n/a,n/a,n/a
dsSumf1,C,15,2,4,3,4,2
dsSumf1,C,16,2,5,3,3,2
dsSumf1,C,17,2,5,n/a,n/a,n/a
dsSumf1,C,18,2,4,3,2,4
dsSumf1,C,19,2,4,3,n/a,n/a
0.004%GLS,A,1,2,3,n/a,n/a,n/a
0.004%GLS,A,2,2,4,3,3,2
0.004%GLS,A,3,2,n/a,n/a,n/a,n/a
0.004%GLS,A,4,2,n/a,n/a,n/a,n/a
0.004%GLS,A,5,2,4,4,4,4
0.004%GLS,A,6,2,5,n/a,n/a,n/a
0.004%GLS,A,7,2,4,3,2,4
0.004%GLS,A,8,2,3,n/a,n/a,n/a
0.004%GLS,A,9,2,3,5,n/a,n/a
0.004%GLS,A,10,2,n/a,n/a,n/a,n/a
0.004%GLS,A,11,2,4,4,3,3
0.004%GLS,A,12,2,4,n/a,n/a,n/a
0.004%GLS,A,13,2,5,n/a,n/a,n/a
0.004%GLS,A,14,2,4,3,n/a,n/a
0.004%GLS,A,15,2,3,2,3,2
0.004%GLS,A,16,2,3,3,n/a,n/a
0.004%GLS,A,17,2,4,n/a,n/a,n/a
0.004%GLS,A,18,2,3,4,3,3
0.004%GLS,B,1,2,3,5,4,2
0.004%GLS,B,2,2,n/a,n/a,n/a,n/a
0.004%GLS,B,3,2,4,4,3,3
0.004%GLS,B,4,2,5,n/a,n/a,n/a
0.004%GLS,B,5,2,5,n/a,n/a,n/a
0.004%GLS,B,6,2,5,4,n/a,n/a
0.004%GLS,B,7,2,3,4,3,5
0.004%GLS,B,8,2,n/a,n/a,n/a,n/a
0.004%GLS,B,9,2,3,n/a,n/a,n/a
0.004%GLS,B,10,2,4,n/a,n/a,n/a
0.004%GLS,B,11,2,4,3,3,1
0.004%GLS,B,12,2,4,2,n/a,n/a
0.004%GLS,B,13,2,3,3,3,2
0.004%GLS,B,14,2,n/a,n/a,n/a,n/a
0.004%GLS,B,15,2,3,n/a,n/a,n/a
0.004%GLS,B,16,2,2,4,n/a,n/a
0.004%GLS,B,17,2,3,n/a,n/a,n/a
0.004%GLS,B,18,2,4,3,4,2
0.004%GLS,C,1,2,3,3,4,3
0.004%GLS,C,2,2,n/a,n/a,n/a,n/a
0.004%GLS,C,3,2,5,n/a,n/a,n/a
0.004%GLS,C,4,2,5,n/a,n/a,n/a
0.004%GLS,C,5,2,4,5,3,2
0.004%GLS,C,6,2,3,4,2,2
0.004%GLS,C,7,2,n/a,n/a,n/a,n/a
0.004%GLS,C,8,2,2,3,3,2
0.004%GLS,C,9,2,4,n/a,n/a,n/a
0.004%GLS,C,10,2,n/a,n/a,n/a,n/a
0.004%GLS,C,11,2,4,3,3,3
0.004%GLS,C,12,2,3,5,n/a,n/a
0.004%GLS,C,13,2,n/a,n/a,n/a,n/a
0.004%GLS,C,14,2,5,n/a,n/a,n/a
0.004%GLS,C,15,2,n/a,n/a,n/a,n/a
0.004%GLS,C,16,2,3,3,3,5
0.004%GLS,C,17,2,3,n/a,n/a,n/a
0.004%GLS,C,18,2,2,n/a,n/a,n/a
0.004%GLS,C,19,2,3,3,3,3
0.004%GLS+dsEGFP,A,1,2,4,3,5,2
0.004%GLS+dsEGFP,A,2,2,n/a,n/a,n/a,n/a
0.004%GLS+dsEGFP,A,3,2,5,n/a,n/a,n/a
0.004%GLS+dsEGFP,A,4,2,n/a,n/a,n/a,n/a
0.004%GLS+dsEGFP,A,5,2,4,3,4,3
0.004%GLS+dsEGFP,A,6,2,n/a,n/a,n/a,n/a
0.004%GLS+dsEGFP,A,7,2,3,4,3,3
0.004%GLS+dsEGFP,A,8,2,4,n/a,n/a,n/a
0.004%GLS+dsEGFP,A,9,2,3,2,4,2
0.004%GLS+dsEGFP,A,10,2,4,n/a,n/a,n/a
0.004%GLS+dsEGFP,A,11,2,3,3,4,3
0.004%GLS+dsEGFP,A,12,2,n/a,n/a,n/a,n/a
0.004%GLS+dsEGFP,A,13,2,4,5,n/a,n/a
0.004%GLS+dsEGFP,A,14,2,3,n/a,n/a,n/a
0.004%GLS+dsEGFP,A,15,2,3,3,3,3
0.004%GLS+dsEGFP,A,16,2,n/a,n/a,n/a,n/a
0.004%GLS+dsEGFP,A,17,2,5,n/a,n/a,n/a
0.004%GLS+dsEGFP,A,18,2,4,n/a,n/a,n/a
0.004%GLS+dsEGFP,B,1,2,3,n/a,n/a,n/a
0.004%GLS+dsEGFP,B,2,2,n/a,n/a,n/a,n/a
0.004%GLS+dsEGFP,B,3,2,3,3,4,3
0.004%GLS+dsEGFP,B,4,2,n/a,n/a,n/a,n/a
0.004%GLS+dsEGFP,B,5,2,5,n/a,n/a,n/a
0.004%GLS+dsEGFP,B,6,2,2,4,4,3
0.004%GLS+dsEGFP,B,7,2,4,n/a,n/a,n/a
0.004%GLS+dsEGFP,B,8,2,3,n/a,n/a,n/a
0.004%GLS+dsEGFP,B,9,2,4,5,n/a,n/a
0.004%GLS+dsEGFP,B,10,2,3,4,2,2
0.004%GLS+dsEGFP,B,11,2,3,n/a,n/a,n/a
0.004%GLS+dsEGFP,B,12,2,4,3,3,2
0.004%GLS+dsEGFP,B,13,2,5,n/a,n/a,n/a
0.004%GLS+dsEGFP,B,14,2,4,4,3,2
0.004%GLS+dsEGFP,B,15,2,n/a,n/a,n/a,n/a
0.004%GLS+dsEGFP,B,16,2,n/a,n/a,n/a,n/a
0.004%GLS+dsEGFP,B,17,2,4,3,n/a,n/a
0.004%GLS+dsEGFP,B,18,2,4,3,3,2
0.004%GLS+dsEGFP,C,1,2,3,4,2,3
0.004%GLS+dsEGFP,C,2,2,5,n/a,n/a,n/a
0.004%GLS+dsEGFP,C,3,2,n/a,n/a,n/a,n/a
0.004%GLS+dsEGFP,C,4,2,4,5,n/a,n/a
0.004%GLS+dsEGFP,C,5,2,4,3,3,2
0.004%GLS+dsEGFP,C,6,2,4,2,3,2
0.004%GLS+dsEGFP,C,7,2,n/a,n/a,n/a,n/a
0.004%GLS+dsEGFP,C,8,2,n/a,n/a,n/a,n/a
0.004%GLS+dsEGFP,C,9,2,3,5,n/a,n/a
0.004%GLS+dsEGFP,C,10,2,4,3,3,2
0.004%GLS+dsEGFP,C,11,2,4,4,3,3
0.004%GLS+dsEGFP,C,12,2,n/a,n/a,n/a,n/a
0.004%GLS+dsEGFP,C,13,2,4,n/a,n/a,n/a
0.004%GLS+dsEGFP,C,14,2,3,4,3,2
0.004%GLS+dsEGFP,C,15,2,3,n/a,n/a,n/a
0.004%GLS+dsEGFP,C,16,2,2,3,4,2
0.004%GLS+dsEGFP,C,17,2,3,n/a,n/a,n/a
0.004%GLS+dsEGFP,C,18,2,3,n/a,n/a,n/a
0.004%GLS+dsEGFP,C,19,2,4,3,3,2
0.004%GLS+dsSumf1,A,1,2,5,n/a,n/a,n/a
0.004%GLS+dsSumf1,A,2,2,n/a,n/a,n/a,n/a
0.004%GLS+dsSumf1,A,3,2,4,4,2,4
0.004%GLS+dsSumf1,A,4,2,3,3,3,4
0.004%GLS+dsSumf1,A,5,2,n/a,n/a,n/a,n/a
0.004%GLS+dsSumf1,A,6,2,n/a,n/a,n/a,n/a
0.004%GLS+dsSumf1,A,7,2,3,4,3,4
0.004%GLS+dsSumf1,A,8,2,6,n/a,n/a,n/a
0.004%GLS+dsSumf1,A,9,2,4,3,n/a,n/a
0.004%GLS+dsSumf1,A,10,2,4,3,2,5
0.004%GLS+dsSumf1,A,11,2,5,4,n/a,n/a
0.004%GLS+dsSumf1,A,12,2,5,n/a,n/a,n/a
0.004%GLS+dsSumf1,A,13,2,4,4,3,n/a
0.004%GLS+dsSumf1,A,14,2,4,4,3,3
0.004%GLS+dsSumf1,A,15,2,n/a,n/a,n/a,n/a
0.004%GLS+dsSumf1,A,16,2,5,n/a,n/a,n/a
0.004%GLS+dsSumf1,A,17,2,5,3,n/a,n/a
0.004%GLS+dsSumf1,A,18,2,4,n/a,n/a,n/a
0.004%GLS+dsSumf1,B,1,2,5,5,n/a,n/a
0.004%GLS+dsSumf1,B,2,2,n/a,n/a,n/a,n/a
0.004%GLS+dsSumf1,B,3,2,3,4,2,3
0.004%GLS+dsSumf1,B,4,2,5,n/a,n/a,n/a
0.004%GLS+dsSumf1,B,5,2,4,5,n/a,n/a
0.004%GLS+dsSumf1,B,6,2,5,n/a,n/a,n/a
0.004%GLS+dsSumf1,B,7,2,4,3,3,3
0.004%GLS+dsSumf1,B,8,2,4,n/a,n/a,n/a
0.004%GLS+dsSumf1,B,9,2,5,4,n/a,n/a
0.004%GLS+dsSumf1,B,10,2,3,n/a,n/a,n/a
0.004%GLS+dsSumf1,B,11,2,3,4,n/a,n/a
0.004%GLS+dsSumf1,B,12,2,4,n/a,n/a,n/a
0.004%GLS+dsSumf1,B,13,2,4,4,3,3
0.004%GLS+dsSumf1,B,14,2,n/a,n/a,n/a,n/a
0.004%GLS+dsSumf1,B,15,2,5,4,3,n/a
0.004%GLS+dsSumf1,B,16,2,5,5,n/a,n/a
0.004%GLS+dsSumf1,B,17,2,n/a,n/a,n/a,n/a
0.004%GLS+dsSumf1,B,18,2,4,4,2,n/a
0.004%GLS+dsSumf1,C,1,2,4,3,4,2
0.004%GLS+dsSumf1,C,2,2,n/a,n/a,n/a,n/a
0.004%GLS+dsSumf1,C,3,2,5,4,3,3
0.004%GLS+dsSumf1,C,4,2,4,n/a,n/a,n/a
0.004%GLS+dsSumf1,C,5,2,5,n/a,n/a,n/a
0.004%GLS+dsSumf1,C,6,2,5,n/a,n/a,n/a
0.004%GLS+dsSumf1,C,7,2,4,5,n/a,n/a
0.004%GLS+dsSumf1,C,8,2,4,3,2,4
0.004%GLS+dsSumf1,C,9,2,4,n/a,n/a,n/a
0.004%GLS+dsSumf1,C,10,2,3,3,2,2
0.004%GLS+dsSumf1,C,11,2,4,3,3,n/a
0.004%GLS+dsSumf1,C,12,2,4,4,n/a,n/a
0.004%GLS+dsSumf1,C,13,2,n/a,n/a,n/a,n/a
0.004%GLS+dsSumf1,C,14,2,5,n/a,n/a,n/a
0.004%GLS+dsSumf1,C,15,2,4,3,n/a,n/a
0.004%GLS+dsSumf1,C,16,2,3,3,2,2
0.004%GLS+dsSumf1,C,17,2,n/a,n/a,n/a,n/a
0.004%GLS+dsSumf1,C,18,2,4,4,n/a,n/a
0.004%GLS+dsSumf1,C,19,2,n/a,n/a,n/a,n/a
0.04%GLS,A,1,2,2,3,3,2
0.04%GLS,A,2,2,4,n/a,n/a,n/a
0.04%GLS,A,3,2,3,2,2,1
0.04%GLS,A,4,2,4,3,n/a,n/a
0.04%GLS,A,5,2,4,4,n/a,n/a
0.04%GLS,A,6,2,3,2,2,2
0.04%GLS,A,7,2,n/a,n/a,n/a,n/a
0.04%GLS,A,8,2,3,2,2,2
0.04%GLS,A,9,2,3,4,3,n/a
0.04%GLS,A,10,2,3,2,2,3
0.04%GLS,A,11,2,4,n/a,n/a,n/a
0.04%GLS,A,12,2,4,2,2,2
0.04%GLS,A,13,2,3,2,3,n/a
0.04%GLS,A,14,2,n/a,n/a,n/a,n/a
0.04%GLS,A,15,2,3,3,3,3
0.04%GLS,A,16,2,2,2,2,2
0.04%GLS,A,17,2,n/a,n/a,n/a,n/a
0.04%GLS,A,18,2,3,3,2,2
0.04%GLS,B,1,2,4,n/a,n/a,n/a
0.04%GLS,B,2,2,3,n/a,n/a,n/a
0.04%GLS,B,3,2,2,3,2,2
0.04%GLS,B,4,2,4,4,n/a,n/a
0.04%GLS,B,5,2,3,3,2,n/a
0.04%GLS,B,6,2,n/a,n/a,n/a,n/a
0.04%GLS,B,7,2,2,2,3,3
0.04%GLS,B,8,2,3,3,2,3
0.04%GLS,B,9,2,3,3,2,n/a
0.04%GLS,B,10,2,2,2,2,2
0.04%GLS,B,11,2,4,n/a,n/a,n/a
0.04%GLS,B,12,2,3,3,n/a,n/a
0.04%GLS,B,13,2,2,3,2,1
0.04%GLS,B,14,2,3,2,2,3
0.04%GLS,B,15,2,2,2,3,3
0.04%GLS,B,16,2,3,3,2,n/a
0.04%GLS,B,17,2,3,2,n/a,n/a
0.04%GLS,B,18,2,3,2,2,1
0.04%GLS,C,1,2,3,2,2,3
0.04%GLS,C,2,2,2,3,2,2
0.04%GLS,C,3,2,4,n/a,n/a,n/a
0.04%GLS,C,4,2,n/a,n/a,n/a,n/a
0.04%GLS,C,5,2,3,3,2,2
0.04%GLS,C,6,2,5,n/a,n/a,n/a
0.04%GLS,C,7,2,4,n/a,n/a,n/a
0.04%GLS,C,8,2,n/a,n/a,n/a,n/a
0.04%GLS,C,9,2,2,3,3,1
0.04%GLS,C,10,2,2,2,2,2
0.04%GLS,C,11,2,3,4,n/a,n/a
0.04%GLS,C,12,2,2,3,n/a,n/a
0.04%GLS,C,13,2,5,n/a,n/a,n/a
0.04%GLS,C,14,2,2,3,n/a,n/a
0.04%GLS,C,15,2,2,2,3,2
0.04%GLS,C,16,2,2,2,2,3
0.04%GLS,C,17,2,2,3,3,3
0.04%GLS,C,18,2,3,n/a,n/a,n/a
0.04%GLS,C,19,2,3,2,2,3
0.04%GLS+dsEGFP,A,1,2,3,2,3,2
0.04%GLS+dsEGFP,A,2,2,4,n/a,n/a,n/a
0.04%GLS+dsEGFP,A,3,2,3,4,n/a,n/a
0.04%GLS+dsEGFP,A,4,2,2,3,2,2
0.04%GLS+dsEGFP,A,5,2,2,2,2,2
0.04%GLS+dsEGFP,A,6,2,3,n/a,n/a,n/a
0.04%GLS+dsEGFP,A,7,2,4,n/a,n/a,n/a
0.04%GLS+dsEGFP,A,8,2,3,2,3,2
0.04%GLS+dsEGFP,A,9,2,n/a,n/a,n/a,n/a
0.04%GLS+dsEGFP,A,10,2,2,2,3,2
0.04%GLS+dsEGFP,A,11,2,3,2,2,3
0.04%GLS+dsEGFP,A,12,2,2,2,3,2
0.04%GLS+dsEGFP,A,13,2,3,2,4,n/a
0.04%GLS+dsEGFP,A,14,2,3,n/a,n/a,n/a
0.04%GLS+dsEGFP,A,15,2,4,4,n/a,n/a
0.04%GLS+dsEGFP,A,16,2,3,3,2,2
0.04%GLS+dsEGFP,A,17,2,3,2,2,2
0.04%GLS+dsEGFP,A,18,2,2,2,3,2
0.04%GLS+dsEGFP,B,1,2,3,2,2,3
0.04%GLS+dsEGFP,B,2,2,2,2,3,2
0.04%GLS+dsEGFP,B,3,2,n/a,n/a,n/a,n/a
0.04%GLS+dsEGFP,B,4,2,3,2,2,2
0.04%GLS+dsEGFP,B,5,2,4,3,n/a,n/a
0.04%GLS+dsEGFP,B,6,2,4,n/a,n/a,n/a
0.04%GLS+dsEGFP,B,7,2,3,2,2,1
0.04%GLS+dsEGFP,B,8,2,4,2,4,n/a
0.04%GLS+dsEGFP,B,9,2,3,3,n/a,n/a
0.04%GLS+dsEGFP,B,10,2,3,2,2,1
0.04%GLS+dsEGFP,B,11,2,4,3,n/a,n/a
0.04%GLS+dsEGFP,B,12,2,5,n/a,n/a,n/a
0.04%GLS+dsEGFP,B,13,2,2,2,2,3
0.04%GLS+dsEGFP,B,14,2,n/a,n/a,n/a,n/a
0.04%GLS+dsEGFP,B,15,2,3,3,n/a,n/a
0.04%GLS+dsEGFP,B,16,2,2,2,2,3
0.04%GLS+dsEGFP,B,17,2,n/a,n/a,n/a,n/a
0.04%GLS+dsEGFP,B,18,2,3,2,2,3
0.04%GLS+dsEGFP,C,1,2,5,n/a,n/a,n/a
0.04%GLS+dsEGFP,C,2,2,3,3,n/a,n/a
0.04%GLS+dsEGFP,C,3,2,3,2,2,3
0.04%GLS+dsEGFP,C,4,2,n/a,n/a,n/a,n/a
0.04%GLS+dsEGFP,C,5,2,2,2,2,2
0.04%GLS+dsEGFP,C,6,2,2,2,2,3
0.04%GLS+dsEGFP,C,7,2,4,3,n/a,n/a
0.04%GLS+dsEGFP,C,8,2,5,n/a,n/a,n/a
0.04%GLS+dsEGFP,C,9,2,n/a,n/a,n/a,n/a
0.04%GLS+dsEGFP,C,10,2,4,n/a,n/a,n/a
0.04%GLS+dsEGFP,C,11,2,2,2,2,3
0.04%GLS+dsEGFP,C,12,2,3,2,3,2
0.04%GLS+dsEGFP,C,13,2,3,2,n/a,n/a
0.04%GLS+dsEGFP,C,14,2,3,n/a,n/a,n/a
0.04%GLS+dsEGFP,C,15,2,2,3,1,2
0.04%GLS+dsEGFP,C,16,2,2,2,2,2
0.04%GLS+dsEGFP,C,17,2,n/a,n/a,n/a,n/a
0.04%GLS+dsEGFP,C,18,2,5,n/a,n/a,n/a
0.04%GLS+dsEGFP,C,19,2,3,3,2,2
0.04%GLS+dsSumf1,A,1,2,5,n/a,n/a,n/a
0.04%GLS+dsSumf1,A,2,2,2,3,3,3
0.04%GLS+dsSumf1,A,3,2,n/a,n/a,n/a,n/a
0.04%GLS+dsSumf1,A,4,2,3,n/a,n/a,n/a
0.04%GLS+dsSumf1,A,5,2,2,2,3,5
0.04%GLS+dsSumf1,A,6,2,5,n/a,n/a,n/a
0.04%GLS+dsSumf1,A,7,2,3,3,3,n/a
0.04%GLS+dsSumf1,A,8,2,5,n/a,n/a,n/a
0.04%GLS+dsSumf1,A,9,2,3,2,2,3
0.04%GLS+dsSumf1,A,10,2,n/a,n/a,n/a,n/a
0.04%GLS+dsSumf1,A,11,2,3,2,3,3
0.04%GLS+dsSumf1,A,12,2,3,3,n/a,n/a
0.04%GLS+dsSumf1,A,13,2,2,2,2,3
0.04%GLS+dsSumf1,A,14,2,4,n/a,n/a,n/a
0.04%GLS+dsSumf1,A,15,2,3,3,5,n/a
0.04%GLS+dsSumf1,A,16,2,3,n/a,n/a,n/a
0.04%GLS+dsSumf1,A,17,2,3,2,n/a,n/a
0.04%GLS+dsSumf1,A,18,2,2,2,3,4
0.04%GLS+dsSumf1,B,1,2,3,2,2,4
0.04%GLS+dsSumf1,B,2,2,n/a,n/a,n/a,n/a
0.04%GLS+dsSumf1,B,3,2,n/a,n/a,n/a,n/a
0.04%GLS+dsSumf1,B,4,2,2,3,2,4
0.04%GLS+dsSumf1,B,5,2,5,n/a,n/a,n/a
0.04%GLS+dsSumf1,B,6,2,6,3,n/a,n/a
0.04%GLS+dsSumf1,B,7,2,n/a,n/a,n/a,n/a
0.04%GLS+dsSumf1,B,8,2,4,3,n/a,n/a
0.04%GLS+dsSumf1,B,9,2,3,2,3,4
0.04%GLS+dsSumf1,B,10,2,3,2,n/a,n/a
0.04%GLS+dsSumf1,B,11,2,n/a,n/a,n/a,n/a
0.04%GLS+dsSumf1,B,12,2,4,2,n/a,n/a
0.04%GLS+dsSumf1,B,13,2,5,n/a,n/a,n/a
0.04%GLS+dsSumf1,B,14,2,4,3,3,n/a
0.04%GLS+dsSumf1,B,15,2,2,2,3,5
0.04%GLS+dsSumf1,B,16,2,n/a,n/a,n/a,n/a
0.04%GLS+dsSumf1,B,17,2,3,4,n/a,n/a
0.04%GLS+dsSumf1,B,18,2,3,3,2,3
0.04%GLS+dsSumf1,C,1,2,4,3,3,n/a
0.04%GLS+dsSumf1,C,2,2,5,n/a,n/a,n/a
0.04%GLS+dsSumf1,C,3,2,6,4,n/a,n/a
0.04%GLS+dsSumf1,C,4,2,n/a,n/a,n/a,n/a
0.04%GLS+dsSumf1,C,5,2,3,3,2,2
0.04%GLS+dsSumf1,C,6,2,5,4,n/a,n/a
0.04%GLS+dsSumf1,C,7,2,4,2,3,4
0.04%GLS+dsSumf1,C,8,2,3,n/a,n/a,n/a
0.04%GLS+dsSumf1,C,9,2,3,4,n/a,n/a
0.04%GLS+dsSumf1,C,10,2,3,3,3,5
0.04%GLS+dsSumf1,C,11,2,n/a,n/a,n/a,n/a
0.04%GLS+dsSumf1,C,12,2,4,4,n/a,n/a
0.04%GLS+dsSumf1,C,13,2,3,n/a,n/a,n/a
0.04%GLS+dsSumf1,C,14,2,4,3,2,3
0.04%GLS+dsSumf1,C,15,2,5,n/a,n/a,n/a
0.04%GLS+dsSumf1,C,16,2,3,4,4,n/a
0.04%GLS+dsSumf1,C,17,2,2,3,2,5
0.04%GLS+dsSumf1,C,18,2,n/a,n/a,n/a,n/a
0.04%GLS+dsSumf1,C,19,2,3,2,2,4
