ID,Well,Cq,Site,Date,Year,Region,Island,Locale,Chondria_cover,Category,Lat,Long,X,Y,Depth_m,Visual_presence,Plate,Threshold,E,SQ.E
CT1205,F8,0,H07,7/11/2023,2023,PMNM,Hōlanikū,Hōlanikū,0,Absent,28.38196,-178.32465,-19851009.23,3297216.116,13.7,0,10,2367,2.03,NA
CT1206,F9,0,H07,7/11/2023,2023,PMNM,Hōlanikū,Hōlanikū,0,Absent,28.38196,-178.32465,-19851009.23,3297216.116,13.7,0,10,2367,2.03,NA
CT1207,F10,0,H07,7/11/2023,2023,PMNM,Hōlanikū,Hōlanikū,0,Absent,28.38196,-178.32465,-19851009.23,3297216.116,13.7,0,10,2367,2.03,NA
CT1208,F11,0,H07,7/11/2023,2023,PMNM,Hōlanikū,Hōlanikū,0,Absent,28.38196,-178.32465,-19851009.23,3297216.116,13.7,0,10,2367,2.03,NA
CT1209,F12,0,H07,7/11/2023,2023,PMNM,Hōlanikū,Hōlanikū,0,Absent,28.38196,-178.32465,-19851009.23,3297216.116,13.7,0,10,2367,2.03,NA
CT1252,B7,29.93042383,H09,7/12/2023,2023,PMNM,Hōlanikū,Hōlanikū,0,Absent,28.38854,-178.3165,-19850101.98,3298048.698,1.8,0,11,1944,2.137,2.62E-07
CT1253,B8,0,H09,7/12/2023,2023,PMNM,Hōlanikū,Hōlanikū,0,Absent,28.38854,-178.3165,-19850101.98,3298048.698,1.8,0,11,1944,2.137,NA
CT1254,B9,0,H09,7/12/2023,2023,PMNM,Hōlanikū,Hōlanikū,0,Absent,28.38854,-178.3165,-19850101.98,3298048.698,1.8,0,11,1944,2.137,NA
CT1255,B10,0,H09,7/12/2023,2023,PMNM,Hōlanikū,Hōlanikū,0,Absent,28.38854,-178.3165,-19850101.98,3298048.698,1.8,0,11,1944,2.137,NA
CT1256,B11,0,H09,7/12/2023,2023,PMNM,Hōlanikū,Hōlanikū,0,Absent,28.38854,-178.3165,-19850101.98,3298048.698,1.8,0,11,1944,2.137,NA
CT1257,B12,0,H09,7/12/2023,2023,PMNM,Hōlanikū,Hōlanikū,0,Absent,28.38854,-178.3165,-19850101.98,3298048.698,1.8,0,11,1944,2.137,NA
CT1264,C7,0,H10,7/12/2023,2023,PMNM,Hōlanikū,Hōlanikū,0,Absent,28.39353,-178.29643,-19847867.8,3298680.129,0.9,0,11,1944,2.137,NA
CT1265,C8,0,H10,7/12/2023,2023,PMNM,Hōlanikū,Hōlanikū,0,Absent,28.39353,-178.29643,-19847867.8,3298680.129,0.9,0,11,1944,2.137,NA
CT1266,C9,0,H10,7/12/2023,2023,PMNM,Hōlanikū,Hōlanikū,0,Absent,28.39353,-178.29643,-19847867.8,3298680.129,0.9,0,11,1944,2.137,NA
CT1267,C10,0,H10,7/12/2023,2023,PMNM,Hōlanikū,Hōlanikū,0,Absent,28.39353,-178.29643,-19847867.8,3298680.129,0.9,0,11,1944,2.137,NA
CT1268,C11,0,H10,7/12/2023,2023,PMNM,Hōlanikū,Hōlanikū,0,Absent,28.39353,-178.29643,-19847867.8,3298680.129,0.9,0,11,1944,2.137,NA
CT1269,C12,0,H10,7/12/2023,2023,PMNM,Hōlanikū,Hōlanikū,0,Absent,28.39353,-178.29643,-19847867.8,3298680.129,0.9,0,11,1944,2.137,NA
CT1279,D10,29.28124587,H01,7/11/2023,2023,PMNM,Hōlanikū,Hōlanikū,0,Absent,28.40905,-178.378,-19856948.13,3300644.209,14.9,0,11,1944,2.137,4.28E-07
CT1280,D11,0,H01,7/11/2023,2023,PMNM,Hōlanikū,Hōlanikū,0,Absent,28.40905,-178.378,-19856948.13,3300644.209,14.9,0,11,1944,2.137,NA
CT1281,D12,0,H01,7/11/2023,2023,PMNM,Hōlanikū,Hōlanikū,0,Absent,28.40905,-178.378,-19856948.13,3300644.209,14.9,0,11,1944,2.137,NA
CT1282,E1,0,H01,7/11/2023,2023,PMNM,Hōlanikū,Hōlanikū,0,Absent,28.40905,-178.378,-19856948.13,3300644.209,14.9,0,11,1944,2.137,NA
CT1283,E2,29.50548027,H01,7/11/2023,2023,PMNM,Hōlanikū,Hōlanikū,0,Absent,28.40905,-178.378,-19856948.13,3300644.209,14.9,0,11,1944,2.137,3.61E-07
CT1284,E3,0,H01,7/11/2023,2023,PMNM,Hōlanikū,Hōlanikū,0,Absent,28.40905,-178.378,-19856948.13,3300644.209,14.9,0,11,1944,2.137,NA
CT1420,A1,0,H08,7/12/2023,2023,PMNM,Hōlanikū,Hōlanikū,0.1,Low,28.44074,-178.36086,-19855040.11,3304655.52,4.6,1,13,1117,2.153,NA
CT1421,A2,0,H08,7/12/2023,2023,PMNM,Hōlanikū,Hōlanikū,0.1,Low,28.44074,-178.36086,-19855040.11,3304655.52,4.6,1,13,1117,2.153,NA
CT1422,A3,0,H08,7/12/2023,2023,PMNM,Hōlanikū,Hōlanikū,0.1,Low,28.44074,-178.36086,-19855040.11,3304655.52,4.6,1,13,1117,2.153,NA
CT1423,A4,0,H08,7/12/2023,2023,PMNM,Hōlanikū,Hōlanikū,0.1,Low,28.44074,-178.36086,-19855040.11,3304655.52,4.6,1,13,1117,2.153,NA
CT1424,A5,27.64046656,H08,7/12/2023,2023,PMNM,Hōlanikū,Hōlanikū,0.1,Low,28.44074,-178.36086,-19855040.11,3304655.52,4.6,1,13,1117,2.153,6.96E-07
CT1425,A6,25.72663744,H08,7/12/2023,2023,PMNM,Hōlanikū,Hōlanikū,0.1,Low,28.44074,-178.36086,-19855040.11,3304655.52,4.6,1,13,1117,2.153,3.02E-06
CT1426,A7,19.31560693,H03,7/11/2023,2023,PMNM,Hōlanikū,Hōlanikū,0.01,Low,28.42866,-178.36946,-19855997.46,3303126.295,2.9,1,13,1117,2.153,0.000412198
CT1427,A8,18.7992324,H03,7/11/2023,2023,PMNM,Hōlanikū,Hōlanikū,0.01,Low,28.42866,-178.36946,-19855997.46,3303126.295,2.9,1,13,1117,2.153,0.000612465
CT1428,A9,18.20258245,H03,7/11/2023,2023,PMNM,Hōlanikū,Hōlanikū,0.01,Low,28.42866,-178.36946,-19855997.46,3303126.295,2.9,1,13,1117,2.153,0.000967814
CT1429,A10,29.22466149,H03,7/11/2023,2023,PMNM,Hōlanikū,Hōlanikū,0.01,Low,28.42866,-178.36946,-19855997.46,3303126.295,2.9,1,13,1117,2.153,2.07E-07
CT1430,A11,0,H03,7/11/2023,2023,PMNM,Hōlanikū,Hōlanikū,0.01,Low,28.42866,-178.36946,-19855997.46,3303126.295,2.9,1,13,1117,2.153,NA
CT1431,A12,0,H03,7/11/2023,2023,PMNM,Hōlanikū,Hōlanikū,0.01,Low,28.42866,-178.36946,-19855997.46,3303126.295,2.9,1,13,1117,2.153,NA
CT1144,A7,24.76559251,H02,7/11/2023,2023,PMNM,Hōlanikū,Hōlanikū,0.01,Low,28.41977,-178.3719,-19856269.08,3302001.009,1.8,1,10,2367,2.03,5.74E-05
CT1145,A8,24.94819488,H02,7/11/2023,2023,PMNM,Hōlanikū,Hōlanikū,0.01,Low,28.41977,-178.3719,-19856269.08,3302001.009,1.8,1,10,2367,2.03,5.04E-05
CT1146,A9,24.8044884,H02,7/11/2023,2023,PMNM,Hōlanikū,Hōlanikū,0.01,Low,28.41977,-178.3719,-19856269.08,3302001.009,1.8,1,10,2367,2.03,5.58E-05
CT1147,A10,23.71795304,H02,7/11/2023,2023,PMNM,Hōlanikū,Hōlanikū,0.01,Low,28.41977,-178.3719,-19856269.08,3302001.009,1.8,1,10,2367,2.03,0.00012051
CT1148,A11,24.36384773,H02,7/11/2023,2023,PMNM,Hōlanikū,Hōlanikū,0.01,Low,28.41977,-178.3719,-19856269.08,3302001.009,1.8,1,10,2367,2.03,7.63E-05
CT1149,A12,23.54412205,H02,7/11/2023,2023,PMNM,Hōlanikū,Hōlanikū,0.01,Low,28.41977,-178.3719,-19856269.08,3302001.009,1.8,1,10,2367,2.03,0.000136293
CT1351,B10,0,KAP01,7/9/2023,2023,PMNM,Kapou,Kapou,0,Absent,26.00257,-173.9646,-19365650.69,2999399.252,10.1,0,12,1765,1.973,NA
CT1352,B11,0,KAP01,7/9/2023,2023,PMNM,Kapou,Kapou,0,Absent,26.00257,-173.9646,-19365650.69,2999399.252,10.1,0,12,1765,1.973,NA
CT1353,B12,0,KAP01,7/9/2023,2023,PMNM,Kapou,Kapou,0,Absent,26.00257,-173.9646,-19365650.69,2999399.252,10.1,0,12,1765,1.973,NA
CT1354,C1,0,KAP01,7/9/2023,2023,PMNM,Kapou,Kapou,0,Absent,26.00257,-173.9646,-19365650.69,2999399.252,10.1,0,12,1765,1.973,NA
CT1355,C2,0,KAP01,7/9/2023,2023,PMNM,Kapou,Kapou,0,Absent,26.00257,-173.9646,-19365650.69,2999399.252,10.1,0,12,1765,1.973,NA
CT1356,C3,0,KAP01,7/9/2023,2023,PMNM,Kapou,Kapou,0,Absent,26.00257,-173.9646,-19365650.69,2999399.252,10.1,0,12,1765,1.973,NA
CT1360,C7,0,KAP02,7/9/2023,2023,PMNM,Kapou,Kapou,0,Absent,26.03954,-174.00101,-19369703.83,3003978.966,7.3,0,12,1765,1.973,NA
CT1361,C8,0,KAP02,7/9/2023,2023,PMNM,Kapou,Kapou,0,Absent,26.03954,-174.00101,-19369703.83,3003978.966,7.3,0,12,1765,1.973,NA
CT1362,C9,0,KAP02,7/9/2023,2023,PMNM,Kapou,Kapou,0,Absent,26.03954,-174.00101,-19369703.83,3003978.966,7.3,0,12,1765,1.973,NA
CT1363,C10,0,KAP02,7/9/2023,2023,PMNM,Kapou,Kapou,0,Absent,26.03954,-174.00101,-19369703.83,3003978.966,7.3,0,12,1765,1.973,NA
CT1364,C11,0,KAP02,7/9/2023,2023,PMNM,Kapou,Kapou,0,Absent,26.03954,-174.00101,-19369703.83,3003978.966,7.3,0,12,1765,1.973,NA
CT1365,C12,0,KAP02,7/9/2023,2023,PMNM,Kapou,Kapou,0,Absent,26.03954,-174.00101,-19369703.83,3003978.966,7.3,0,12,1765,1.973,NA
CT1369,D4,0,KAP03,7/9/2023,2023,PMNM,Kapou,Kapou,0,Absent,26.07841,-173.997,-19369257.44,3008795.603,19.2,0,12,1765,1.973,NA
CT1370,D5,0,KAP03,7/9/2023,2023,PMNM,Kapou,Kapou,0,Absent,26.07841,-173.997,-19369257.44,3008795.603,19.2,0,12,1765,1.973,NA
CT1371,D6,0,KAP03,7/9/2023,2023,PMNM,Kapou,Kapou,0,Absent,26.07841,-173.997,-19369257.44,3008795.603,19.2,0,12,1765,1.973,NA
CT1372,D7,0,KAP03,7/9/2023,2023,PMNM,Kapou,Kapou,0,Absent,26.07841,-173.997,-19369257.44,3008795.603,19.2,0,12,1765,1.973,NA
CT1373,D8,0,KAP03,7/9/2023,2023,PMNM,Kapou,Kapou,0,Absent,26.07841,-173.997,-19369257.44,3008795.603,19.2,0,12,1765,1.973,NA
CT1374,D9,0,KAP03,7/9/2023,2023,PMNM,Kapou,Kapou,0,Absent,26.07841,-173.997,-19369257.44,3008795.603,19.2,0,12,1765,1.973,NA
CT1378,E1,0,KAP04,7/9/2023,2023,PMNM,Kapou,Kapou,0,Absent,25.96734,-173.91605,-19360246.13,2995036.425,3.1,0,12,1765,1.973,NA
CT1379,E2,0,KAP04,7/9/2023,2023,PMNM,Kapou,Kapou,0,Absent,25.96734,-173.91605,-19360246.13,2995036.425,3.1,0,12,1765,1.973,NA
CT1380,E3,0,KAP04,7/9/2023,2023,PMNM,Kapou,Kapou,0,Absent,25.96734,-173.91605,-19360246.13,2995036.425,3.1,0,12,1765,1.973,NA
CT1381,E4,0,KAP04,7/9/2023,2023,PMNM,Kapou,Kapou,0,Absent,25.96734,-173.91605,-19360246.13,2995036.425,3.1,0,12,1765,1.973,NA
CT1382,E5,0,KAP04,7/9/2023,2023,PMNM,Kapou,Kapou,0,Absent,25.96734,-173.91605,-19360246.13,2995036.425,3.1,0,12,1765,1.973,NA
CT1383,E6,0,KAP04,7/9/2023,2023,PMNM,Kapou,Kapou,0,Absent,25.96734,-173.91605,-19360246.13,2995036.425,3.1,0,12,1765,1.973,NA
CT1387,E10,0,KAP05,7/9/2023,2023,PMNM,Kapou,Kapou,0,Absent,26.06117,-173.95456,-19364533.04,3006659.084,4.9,0,12,1765,1.973,NA
CT1388,E11,0,KAP05,7/9/2023,2023,PMNM,Kapou,Kapou,0,Absent,26.06117,-173.95456,-19364533.04,3006659.084,4.9,0,12,1765,1.973,NA
CT1389,E12,0,KAP05,7/9/2023,2023,PMNM,Kapou,Kapou,0,Absent,26.06117,-173.95456,-19364533.04,3006659.084,4.9,0,12,1765,1.973,NA
CT1390,F1,0,KAP05,7/9/2023,2023,PMNM,Kapou,Kapou,0,Absent,26.06117,-173.95456,-19364533.04,3006659.084,4.9,0,12,1765,1.973,NA
CT1391,F2,0,KAP05,7/9/2023,2023,PMNM,Kapou,Kapou,0,Absent,26.06117,-173.95456,-19364533.04,3006659.084,4.9,0,12,1765,1.973,NA
CT1392,F3,0,KAP05,7/9/2023,2023,PMNM,Kapou,Kapou,0,Absent,26.06117,-173.95456,-19364533.04,3006659.084,4.9,0,12,1765,1.973,NA
CT085,A01,24.33492631,K07,7/16/2022,2022,PMNM,Kuaihelani,Kuaihelani,0,Absent,28.228584,-177.420706,-19750382.65,3277823.689,2.7,0,1,2861,1.85,0.000901392
CT086,A02,25.61323891,K07,7/16/2022,2022,PMNM,Kuaihelani,Kuaihelani,0,Absent,28.228584,-177.420706,-19750382.65,3277823.689,2.7,0,1,2861,1.85,0.000410567
CT087,A03,23.59109756,K07,7/16/2022,2022,PMNM,Kuaihelani,Kuaihelani,0,Absent,28.228584,-177.420706,-19750382.65,3277823.689,2.7,0,1,2861,1.85,0.001424438
CT088,A04,24.07133161,K07,7/16/2022,2022,PMNM,Kuaihelani,Kuaihelani,0,Absent,28.228584,-177.420706,-19750382.65,3277823.689,2.7,0,1,2861,1.85,0.00106008
CT089,A05,26.16711451,K07,7/16/2022,2022,PMNM,Kuaihelani,Kuaihelani,0,Absent,28.228584,-177.420706,-19750382.65,3277823.689,2.7,0,1,2861,1.85,0.000292015
CT090,A06,24.03829112,K07,7/16/2022,2022,PMNM,Kuaihelani,Kuaihelani,0,Absent,28.228584,-177.420706,-19750382.65,3277823.689,2.7,0,1,2861,1.85,0.001081848
CT091,A07,23.49818154,K07,7/16/2022,2022,PMNM,Kuaihelani,Kuaihelani,0,Absent,28.228584,-177.420706,-19750382.65,3277823.689,2.7,0,1,2861,1.85,0.001508232
CT092,A08,23.11696899,K07,7/16/2022,2022,PMNM,Kuaihelani,Kuaihelani,0,Absent,28.228584,-177.420706,-19750382.65,3277823.689,2.7,0,1,2861,1.85,0.001906853
CT093,A09,24.49282335,K07,7/16/2022,2022,PMNM,Kuaihelani,Kuaihelani,0,Absent,28.228584,-177.420706,-19750382.65,3277823.689,2.7,0,1,2861,1.85,0.000817952
CT097,B01,0,K16,7/18/2022,2022,PMNM,Kuaihelani,Kuaihelani,0,Absent,28.211504,-177.368119,-19744528.69,3275665.87,0.9,0,1,2861,1.85,NA
CT098,B02,0,K16,7/18/2022,2022,PMNM,Kuaihelani,Kuaihelani,0,Absent,28.211504,-177.368119,-19744528.69,3275665.87,0.9,0,1,2861,1.85,NA
CT099,B03,0,K16,7/18/2022,2022,PMNM,Kuaihelani,Kuaihelani,0,Absent,28.211504,-177.368119,-19744528.69,3275665.87,0.9,0,1,2861,1.85,NA
CT100,B04,0,K16,7/18/2022,2022,PMNM,Kuaihelani,Kuaihelani,0,Absent,28.211504,-177.368119,-19744528.69,3275665.87,0.9,0,1,2861,1.85,NA
CT101,B05,0,K16,7/18/2022,2022,PMNM,Kuaihelani,Kuaihelani,0,Absent,28.211504,-177.368119,-19744528.69,3275665.87,0.9,0,1,2861,1.85,NA
CT102,B06,0,K16,7/18/2022,2022,PMNM,Kuaihelani,Kuaihelani,0,Absent,28.211504,-177.368119,-19744528.69,3275665.87,0.9,0,1,2861,1.85,NA
CT103,B07,0,K16,7/18/2022,2022,PMNM,Kuaihelani,Kuaihelani,0,Absent,28.211504,-177.368119,-19744528.69,3275665.87,0.9,0,1,2861,1.85,NA
CT104,B08,0,K16,7/18/2022,2022,PMNM,Kuaihelani,Kuaihelani,0,Absent,28.211504,-177.368119,-19744528.69,3275665.87,0.9,0,1,2861,1.85,NA
CT105,B09,0,K16,7/18/2022,2022,PMNM,Kuaihelani,Kuaihelani,0,Absent,28.211504,-177.368119,-19744528.69,3275665.87,0.9,0,1,2861,1.85,NA
CT109,C01,0,K14,7/18/2022,2022,PMNM,Kuaihelani,Kuaihelani,0,Absent,28.218221,-177.368165,-19744533.81,3276514.428,7.6,0,1,2861,1.85,NA
CT110,C02,0,K14,7/18/2022,2022,PMNM,Kuaihelani,Kuaihelani,0,Absent,28.218221,-177.368165,-19744533.81,3276514.428,7.6,0,1,2861,1.85,NA
CT111,C03,0,K14,7/18/2022,2022,PMNM,Kuaihelani,Kuaihelani,0,Absent,28.218221,-177.368165,-19744533.81,3276514.428,7.6,0,1,2861,1.85,NA
CT112,C04,0,K14,7/18/2022,2022,PMNM,Kuaihelani,Kuaihelani,0,Absent,28.218221,-177.368165,-19744533.81,3276514.428,7.6,0,1,2861,1.85,NA
CT113,C05,0,K14,7/18/2022,2022,PMNM,Kuaihelani,Kuaihelani,0,Absent,28.218221,-177.368165,-19744533.81,3276514.428,7.6,0,1,2861,1.85,NA
CT114,C06,0,K14,7/18/2022,2022,PMNM,Kuaihelani,Kuaihelani,0,Absent,28.218221,-177.368165,-19744533.81,3276514.428,7.6,0,1,2861,1.85,NA
CT115,C07,0,K14,7/18/2022,2022,PMNM,Kuaihelani,Kuaihelani,0,Absent,28.218221,-177.368165,-19744533.81,3276514.428,7.6,0,1,2861,1.85,NA
CT116,C08,0,K14,7/18/2022,2022,PMNM,Kuaihelani,Kuaihelani,0,Absent,28.218221,-177.368165,-19744533.81,3276514.428,7.6,0,1,2861,1.85,NA
CT117,C09,0,K14,7/18/2022,2022,PMNM,Kuaihelani,Kuaihelani,0,Absent,28.218221,-177.368165,-19744533.81,3276514.428,7.6,0,1,2861,1.85,NA
CT121,D01,21.58120067,K11,7/16/2022,2022,PMNM,Kuaihelani,Kuaihelani,1,Low,28.2229182,-177.4157677,-19749832.92,3277107.856,2.7,1,1,2861,1.85,0.004904911
CT122,D02,21.69590173,K11,7/16/2022,2022,PMNM,Kuaihelani,Kuaihelani,1,Low,28.2229182,-177.4157677,-19749832.92,3277107.856,2.7,1,1,2861,1.85,0.004570738
CT123,D03,21.70179646,K11,7/16/2022,2022,PMNM,Kuaihelani,Kuaihelani,1,Low,28.2229182,-177.4157677,-19749832.92,3277107.856,2.7,1,1,2861,1.85,0.004554193
CT124,D04,22.22484714,K11,7/16/2022,2022,PMNM,Kuaihelani,Kuaihelani,1,Low,28.2229182,-177.4157677,-19749832.92,3277107.856,2.7,1,1,2861,1.85,0.003301163
CT125,D05,22.08161531,K11,7/16/2022,2022,PMNM,Kuaihelani,Kuaihelani,1,Low,28.2229182,-177.4157677,-19749832.92,3277107.856,2.7,1,1,2861,1.85,0.003605243
CT126,D06,23.28626554,K11,7/16/2022,2022,PMNM,Kuaihelani,Kuaihelani,1,Low,28.2229182,-177.4157677,-19749832.92,3277107.856,2.7,1,1,2861,1.85,0.001718249
CT127,D07,23.61742701,K11,7/16/2022,2022,PMNM,Kuaihelani,Kuaihelani,1,Low,28.2229182,-177.4157677,-19749832.92,3277107.856,2.7,1,1,2861,1.85,0.001401552
CT128,D08,22.23988757,K11,7/16/2022,2022,PMNM,Kuaihelani,Kuaihelani,1,Low,28.2229182,-177.4157677,-19749832.92,3277107.856,2.7,1,1,2861,1.85,0.00327076
CT129,D09,22.56794887,K11,7/16/2022,2022,PMNM,Kuaihelani,Kuaihelani,1,Low,28.2229182,-177.4157677,-19749832.92,3277107.856,2.7,1,1,2861,1.85,0.002673006
CT133,E01,23.00332755,K19,7/19/2022,2022,PMNM,Kuaihelani,Kuaihelani,5,Low,28.26913,-177.38635,-19746558.16,3282947.493,1.8,1,1,2861,1.85,0.002044933
CT134,E02,22.24295141,K19,7/19/2022,2022,PMNM,Kuaihelani,Kuaihelani,5,Low,28.26913,-177.38635,-19746558.16,3282947.493,1.8,1,1,2861,1.85,0.003264601
CT135,E03,22.06551136,K19,7/19/2022,2022,PMNM,Kuaihelani,Kuaihelani,5,Low,28.26913,-177.38635,-19746558.16,3282947.493,1.8,1,1,2861,1.85,0.003641137
CT136,E04,22.66626952,K19,7/19/2022,2022,PMNM,Kuaihelani,Kuaihelani,5,Low,28.26913,-177.38635,-19746558.16,3282947.493,1.8,1,1,2861,1.85,0.002516121
CT137,E05,23.04320639,K19,7/19/2022,2022,PMNM,Kuaihelani,Kuaihelani,5,Low,28.26913,-177.38635,-19746558.16,3282947.493,1.8,1,1,2861,1.85,0.001995375
CT138,E06,22.98815824,K19,7/19/2022,2022,PMNM,Kuaihelani,Kuaihelani,5,Low,28.26913,-177.38635,-19746558.16,3282947.493,1.8,1,1,2861,1.85,0.002064105
CT139,E07,22.40004014,K19,7/19/2022,2022,PMNM,Kuaihelani,Kuaihelani,5,Low,28.26913,-177.38635,-19746558.16,3282947.493,1.8,1,1,2861,1.85,0.002963879
CT140,E08,23.19394603,K19,7/19/2022,2022,PMNM,Kuaihelani,Kuaihelani,5,Low,28.26913,-177.38635,-19746558.16,3282947.493,1.8,1,1,2861,1.85,0.001818659
CT141,E09,22.76695271,K19,7/19/2022,2022,PMNM,Kuaihelani,Kuaihelani,5,Low,28.26913,-177.38635,-19746558.16,3282947.493,1.8,1,1,2861,1.85,0.002365003
CT1432,B1,0,K10,7/16/2022,2022,PMNM,Kuaihelani,Kuaihelani,5,Low,28.22720915,-177.4041984,-19748545.03,3277649.983,4.6,1,13,1117,2.153,NA
CT1433,B2,28.95472706,K10,7/16/2022,2022,PMNM,Kuaihelani,Kuaihelani,5,Low,28.22720915,-177.4041984,-19748545.03,3277649.983,4.6,1,13,1117,2.153,2.54E-07
CT1434,B3,0,K10,7/16/2022,2022,PMNM,Kuaihelani,Kuaihelani,5,Low,28.22720915,-177.4041984,-19748545.03,3277649.983,4.6,1,13,1117,2.153,NA
CT1435,B4,27.58964144,K10,7/16/2022,2022,PMNM,Kuaihelani,Kuaihelani,5,Low,28.22720915,-177.4041984,-19748545.03,3277649.983,4.6,1,13,1117,2.153,7.24E-07
CT1436,B5,0,K10,7/16/2022,2022,PMNM,Kuaihelani,Kuaihelani,5,Low,28.22720915,-177.4041984,-19748545.03,3277649.983,4.6,1,13,1117,2.153,NA
CT1437,B6,0,K10,7/16/2022,2022,PMNM,Kuaihelani,Kuaihelani,5,Low,28.22720915,-177.4041984,-19748545.03,3277649.983,4.6,1,13,1117,2.153,NA
CT1438,B7,28.2415946,K10,7/16/2022,2022,PMNM,Kuaihelani,Kuaihelani,5,Low,28.22720915,-177.4041984,-19748545.03,3277649.983,4.6,1,13,1117,2.153,4.39E-07
CT1439,B8,0,K10,7/16/2022,2022,PMNM,Kuaihelani,Kuaihelani,5,Low,28.22720915,-177.4041984,-19748545.03,3277649.983,4.6,1,13,1117,2.153,NA
CT1440,B9,0,K10,7/16/2022,2022,PMNM,Kuaihelani,Kuaihelani,5,Low,28.22720915,-177.4041984,-19748545.03,3277649.983,4.6,1,13,1117,2.153,NA
CT145,F01,0,K08,7/17/2022,2022,PMNM,Kuaihelani,Kuaihelani,20,Moderate,28.27020892,-177.3411337,-19741524.7,3283083.863,1.1,1,1,2861,1.85,NA
CT146,F02,0,K08,7/17/2022,2022,PMNM,Kuaihelani,Kuaihelani,20,Moderate,28.27020892,-177.3411337,-19741524.7,3283083.863,1.1,1,1,2861,1.85,NA
CT147,F03,27.03704262,K08,7/17/2022,2022,PMNM,Kuaihelani,Kuaihelani,20,Moderate,28.27020892,-177.3411337,-19741524.7,3283083.863,1.1,1,1,2861,1.85,0.000170995
