age,education,gender,hours,interaction,isolation,socialconnections,socialmedia,substitution,support,urbanity,isolation_number,hours_category
25-34,graduatedegree,male,2,little,none,neutral,frequently,never,none,suburban,0,1-2
35-44,graduatedegree,female,2,little,some,neutral,occasionally,frequently,some,urban,2,1-2
35-44,collegedegree,female,4,little,none,negative,frequently,never,none,suburban,0,3-4
25-34,graduatedegree,male,2,most,most,positive,veryfrequently,frequently,most,urban,3,1-2
25-34,graduatedegree,male,5,most,all,positive,veryfrequently,frequently,some,rural,4,5+
25-34,somecollege,male,1,little,little,positive,occasionally,occasionally,little,rural,1,<1
25-34,collegedegree,male,4,some,most,neutral,frequently,frequently,some,urban,3,3-4
35-44,collegedegree,male,2,most,most,positive,frequently,occasionally,some,suburban,3,1-2
35-44,graduatedegree,female,2,little,some,neutral,veryfrequently,occasionally,little,suburban,2,1-2
55-64,somecollege,female,1,some,none,positive,occasionally,occasionally,some,suburban,0,<1
25-34,graduatedegree,male,2,most,some,positive,veryfrequently,frequently,most,urban,2,1-2
55-64,highschool,female,2,little,none,neutral,frequently,rarely,little,suburban,0,1-2
25-34,graduatedegree,female,5,most,some,positive,veryfrequently,veryfrequently,most,suburban,2,5+
18-24,graduatedegree,female,2,most,some,neutral,veryfrequently,occasionally,most,urban,2,1-2
25-34,highschool,male,1,little,some,neutral,occasionally,rarely,most,urban,2,<1
18-24,graduatedegree,female,2,little,some,neutral,rarely,occasionally,little,urban,2,1-2
18-24,collegedegree,female,4,most,most,positive,occasionally,occasionally,most,urban,3,3-4
35-44,graduatedegree,female,1,little,none,positive,occasionally,never,little,suburban,0,<1
55-64,collegedegree,female,1,little,none,positive,frequently,rarely,most,suburban,0,<1
65+,collegedegree,female,2,most,none,positive,veryfrequently,rarely,most,rural,0,1-2
25-34,collegedegree,female,5,some,some,positive,veryfrequently,frequently,some,urban,2,5+
25-34,somecollege,female,1,little,none,neutral,frequently,never,little,suburban,0,<1
25-34,graduatedegree,male,5,most,most,negative,veryfrequently,veryfrequently,most,rural,3,5+
35-44,collegedegree,male,5,most,some,positive,frequently,frequently,most,urban,2,5+
25-34,collegedegree,female,2,little,some,neutral,frequently,frequently,some,rural,2,1-2
25-34,graduatedegree,female,4,all,most,positive,veryfrequently,occasionally,most,suburban,3,3-4
18-24,collegedegree,male,2,little,little,neutral,rarely,rarely,some,rural,1,1-2
45-54,graduatedegree,male,4,some,some,neutral,occasionally,rarely,little,urban,2,3-4
45-54,graduatedegree,male,4,some,some,neutral,frequently,frequently,most,urban,2,3-4
45-54,graduatedegree,female,4,little,some,positive,veryfrequently,veryfrequently,some,urban,2,3-4
25-34,collegedegree,female,4,most,most,neutral,frequently,frequently,most,urban,3,3-4
45-54,collegedegree,male,1,some,none,positive,frequently,rarely,little,urban,0,<1
25-34,graduatedegree,male,1,some,some,neutral,frequently,occasionally,most,urban,2,<1
35-44,graduatedegree,male,4,most,little,positive,occasionally,occasionally,some,urban,1,3-4
25-34,graduatedegree,male,5,all,all,positive,veryfrequently,veryfrequently,all,urban,4,5+
45-54,graduatedegree,female,5,most,most,positive,occasionally,occasionally,most,rural,3,5+
25-34,collegedegree,female,5,most,most,positive,frequently,frequently,most,urban,3,5+
25-34,graduatedegree,male,4,most,most,positive,occasionally,occasionally,most,suburban,3,3-4
35-44,graduatedegree,male,1,some,none,positive,occasionally,rarely,some,rural,0,<1
35-44,collegedegree,female,2,most,all,positive,frequently,occasionally,some,urban,4,1-2
25-34,collegedegree,male,2,most,little,positive,veryfrequently,occasionally,all,urban,1,1-2
55-64,graduatedegree,male,5,most,all,neutral,frequently,veryfrequently,all,urban,4,5+
25-34,graduatedegree,female,2,some,little,positive,veryfrequently,occasionally,some,suburban,1,1-2
55-64,collegedegree,female,1,none,none,negative,occasionally,never,none,suburban,0,<1
25-34,graduatedegree,male,4,little,little,positive,frequently,frequently,little,rural,1,3-4
25-34,collegedegree,male,5,all,all,neutral,frequently,frequently,all,urban,4,5+
25-34,graduatedegree,male,2,little,little,negative,veryfrequently,rarely,none,urban,1,1-2
35-44,collegedegree,male,2,some,all,positive,occasionally,occasionally,most,suburban,4,1-2
25-34,somecollege,male,5,most,most,negative,veryfrequently,veryfrequently,little,rural,3,5+
25-34,graduatedegree,male,4,none,little,neutral,frequently,occasionally,little,urban,1,3-4
35-44,collegedegree,female,5,some,little,negative,veryfrequently,occasionally,little,rural,1,5+
25-34,collegedegree,male,5,most,some,positive,frequently,frequently,most,rural,2,5+
35-44,collegedegree,female,2,little,none,neutral,veryfrequently,rarely,little,urban,0,1-2
25-34,collegedegree,female,5,most,most,neutral,frequently,frequently,some,rural,3,5+
25-34,collegedegree,female,4,most,most,positive,frequently,veryfrequently,most,rural,3,3-4
35-44,graduatedegree,male,5,all,all,neutral,veryfrequently,veryfrequently,all,rural,4,5+
25-34,graduatedegree,male,2,some,some,neutral,rarely,occasionally,some,urban,2,1-2
25-34,collegedegree,male,2,little,some,neutral,veryfrequently,never,little,suburban,2,1-2
35-44,collegedegree,female,1,none,most,neutral,occasionally,occasionally,none,suburban,3,<1
45-54,collegedegree,female,2,little,none,positive,veryfrequently,never,little,suburban,0,1-2
18-24,graduatedegree,male,4,some,some,neutral,veryfrequently,occasionally,some,urban,2,3-4
35-44,collegedegree,male,1,little,some,negative,frequently,rarely,none,urban,2,<1
25-34,highschool,male,5,some,none,positive,veryfrequently,frequently,little,suburban,0,5+
25-34,collegedegree,male,5,all,all,neutral,veryfrequently,frequently,all,urban,4,5+
25-34,collegedegree,female,5,most,most,positive,frequently,frequently,most,rural,3,5+
35-44,somecollege,male,1,some,none,neutral,frequently,never,little,suburban,0,<1
65+,graduatedegree,male,2,little,some,positive,frequently,rarely,little,urban,2,1-2
25-34,collegedegree,female,5,most,all,positive,veryfrequently,veryfrequently,most,suburban,4,5+
45-54,graduatedegree,male,4,all,all,positive,veryfrequently,veryfrequently,most,rural,4,3-4
25-34,graduatedegree,female,4,none,some,positive,occasionally,occasionally,some,urban,2,3-4
25-34,collegedegree,male,4,some,none,neutral,frequently,rarely,some,suburban,0,3-4
25-34,collegedegree,female,5,most,most,positive,frequently,frequently,most,urban,3,5+
35-44,somecollege,male,2,little,none,neutral,veryfrequently,rarely,little,suburban,0,1-2
35-44,collegedegree,female,5,most,some,positive,frequently,frequently,all,urban,2,5+
25-34,collegedegree,female,5,most,some,neutral,frequently,occasionally,some,urban,2,5+
25-34,graduatedegree,male,2,most,most,positive,veryfrequently,frequently,most,urban,3,1-2
45-54,graduatedegree,male,4,some,some,neutral,veryfrequently,occasionally,some,urban,2,3-4
55-64,collegedegree,male,2,little,some,neutral,rarely,never,some,urban,2,1-2
35-44,graduatedegree,male,4,most,some,neutral,frequently,occasionally,most,urban,2,3-4
35-44,graduatedegree,male,1,none,most,negative,occasionally,rarely,none,urban,3,<1
25-34,graduatedegree,female,2,some,none,positive,frequently,frequently,little,suburban,0,1-2
35-44,collegedegree,male,2,most,little,positive,frequently,rarely,little,suburban,1,1-2
35-44,highschool,female,4,some,none,positive,veryfrequently,frequently,some,suburban,0,3-4
25-34,graduatedegree,male,2,some,most,neutral,frequently,rarely,some,urban,3,1-2
25-34,graduatedegree,male,2,most,some,neutral,frequently,occasionally,little,urban,2,1-2
35-44,collegedegree,female,5,most,little,positive,veryfrequently,occasionally,some,urban,1,5+
55-64,graduatedegree,male,4,most,some,positive,veryfrequently,occasionally,some,rural,2,3-4
35-44,somecollege,female,2,some,none,neutral,frequently,rarely,little,urban,0,1-2
55-64,graduatedegree,male,1,little,some,neutral,frequently,occasionally,little,suburban,2,<1
18-24,highschool,male,4,little,some,neutral,frequently,rarely,none,rural,2,3-4
25-34,graduatedegree,male,2,most,most,positive,veryfrequently,frequently,most,urban,3,1-2
25-34,graduatedegree,male,5,most,little,positive,veryfrequently,occasionally,most,urban,1,5+
35-44,graduatedegree,male,2,some,most,positive,occasionally,frequently,some,urban,3,1-2
18-24,collegedegree,female,5,most,little,positive,veryfrequently,occasionally,some,urban,1,5+
25-34,collegedegree,female,2,little,little,neutral,frequently,occasionally,none,suburban,1,1-2
35-44,graduatedegree,female,2,some,little,positive,frequently,never,little,urban,1,1-2
35-44,highschool,female,4,little,little,neutral,frequently,never,little,urban,1,3-4
45-54,highschool,male,2,little,none,positive,veryfrequently,rarely,none,rural,0,1-2
45-54,graduatedegree,female,2,some,little,neutral,frequently,frequently,most,urban,1,1-2
35-44,collegedegree,male,1,little,none,negative,occasionally,rarely,little,urban,0,<1
55-64,graduatedegree,female,1,none,some,negative,occasionally,rarely,little,suburban,2,<1
65+,somecollege,female,4,some,little,neutral,frequently,occasionally,little,urban,1,3-4
35-44,graduatedegree,male,5,most,all,positive,veryfrequently,frequently,most,urban,4,5+
18-24,collegedegree,female,5,most,some,positive,frequently,occasionally,most,urban,2,5+
35-44,collegedegree,male,4,some,some,positive,veryfrequently,rarely,some,rural,2,3-4
25-34,graduatedegree,female,1,little,some,neutral,occasionally,frequently,none,urban,2,<1
25-34,graduatedegree,female,2,most,none,positive,frequently,never,most,urban,0,1-2
18-24,graduatedegree,female,5,most,most,positive,occasionally,frequently,some,urban,3,5+
25-34,collegedegree,female,4,most,none,positive,veryfrequently,rarely,most,urban,0,3-4
65+,graduatedegree,female,2,some,little,positive,frequently,rarely,little,suburban,1,1-2
35-44,somecollege,female,2,little,none,neutral,veryfrequently,rarely,some,urban,0,1-2
25-34,graduatedegree,male,2,some,some,neutral,occasionally,occasionally,most,urban,2,1-2
25-34,collegedegree,female,4,little,some,positive,frequently,frequently,most,urban,2,3-4
25-34,graduatedegree,male,2,some,little,neutral,frequently,occasionally,little,suburban,1,1-2
35-44,somecollege,male,2,little,most,neutral,occasionally,occasionally,most,urban,3,1-2
25-34,graduatedegree,female,4,most,most,neutral,frequently,occasionally,some,rural,3,3-4
35-44,graduatedegree,male,4,some,little,positive,veryfrequently,occasionally,some,urban,1,3-4
45-54,collegedegree,male,5,most,all,positive,frequently,veryfrequently,most,urban,4,5+
25-34,collegedegree,male,4,most,all,positive,veryfrequently,frequently,all,rural,4,3-4
55-64,collegedegree,female,4,most,some,positive,frequently,occasionally,some,suburban,2,3-4
25-34,somecollege,female,2,little,none,neutral,occasionally,rarely,little,suburban,0,1-2
25-34,collegedegree,male,4,most,some,neutral,veryfrequently,occasionally,most,urban,2,3-4
45-54,graduatedegree,female,4,some,little,neutral,frequently,occasionally,some,urban,1,3-4
25-34,graduatedegree,female,2,some,some,positive,frequently,occasionally,some,suburban,2,1-2
