Treatment,Plot,Site,Replicate,Date,Year,JDay,Haxy,Save,Rpad
E,Langfang_E3,Langfang,E_2_14,2015-04-07,2015,97,0,31,0
E,Langfang_E3,Langfang,E_3_14,2015-04-07,2015,97,0,30,0
E,Langfang_E3,Langfang,E_4_14,2015-04-07,2015,97,0,31,0
E,Langfang_E3,Langfang,E_5_14,2015-04-07,2015,97,0,26,0
E,Langfang_E4,Langfang,E_1_14,2015-04-07,2015,97,0,32,0
E,Langfang_E4,Langfang,E_2_14,2015-04-07,2015,97,0,28,0
E,Langfang_E4,Langfang,E_3_14,2015-04-07,2015,97,0,37,0
E,Langfang_E4,Langfang,E_4_14,2015-04-07,2015,97,0,31,0
E,Langfang_E4,Langfang,E_5_14,2015-04-07,2015,97,0,31,0
E,Langfang_E5,Langfang,E_1_14,2015-04-07,2015,97,0,42,0
E,Langfang_E5,Langfang,E_2_14,2015-04-07,2015,97,0,46,0
E,Langfang_E5,Langfang,E_3_14,2015-04-07,2015,97,0,35,0
E,Langfang_E5,Langfang,E_4_14,2015-04-07,2015,97,0,34,0
E,Langfang_E5,Langfang,E_5_14,2015-04-07,2015,97,0,47,0
E,Langfang_E6,Langfang,E_1_14,2015-04-07,2015,97,0,8,0
E,Langfang_E6,Langfang,E_2_14,2015-04-07,2015,97,0,6,0
E,Langfang_E6,Langfang,E_3_14,2015-04-07,2015,97,0,12,0
E,Langfang_E6,Langfang,E_4_14,2015-04-07,2015,97,0,6,0
E,Langfang_E6,Langfang,E_5_14,2015-04-07,2015,97,0,9,0
A,Langfang_CK1,Langfang,A_1_14,2015-04-12,2015,102,0,5,0
A,Langfang_CK1,Langfang,A_2_14,2015-04-12,2015,102,0,4,0
A,Langfang_CK1,Langfang,A_3_14,2015-04-12,2015,102,1,4,0
A,Langfang_CK1,Langfang,A_4_14,2015-04-12,2015,102,0,6,0
A,Langfang_CK1,Langfang,A_5_14,2015-04-12,2015,102,0,5,0
A,Langfang_CK2,Langfang,A_1_14,2015-04-12,2015,102,0,6,0
A,Langfang_CK2,Langfang,A_2_14,2015-04-12,2015,102,0,4,0
A,Langfang_CK2,Langfang,A_3_14,2015-04-12,2015,102,0,6,0
A,Langfang_CK2,Langfang,A_4_14,2015-04-12,2015,102,1,7,0
A,Langfang_CK2,Langfang,A_5_14,2015-04-12,2015,102,0,6,0
A,Langfang_CK3,Langfang,A_1_14,2015-04-12,2015,102,0,1,0
A,Langfang_CK3,Langfang,A_2_14,2015-04-12,2015,102,0,1,0
A,Langfang_CK3,Langfang,A_3_14,2015-04-12,2015,102,0,0,0
A,Langfang_CK3,Langfang,A_4_14,2015-04-12,2015,102,0,1,0
A,Langfang_CK3,Langfang,A_5_14,2015-04-12,2015,102,2,1,0
A,Langfang_CK4,Langfang,A_1_14,2015-04-12,2015,102,0,5,0
A,Langfang_CK4,Langfang,A_2_14,2015-04-12,2015,102,0,9,0
A,Langfang_CK4,Langfang,A_3_14,2015-04-12,2015,102,0,6,0
A,Langfang_CK4,Langfang,A_4_14,2015-04-12,2015,102,0,3,0
A,Langfang_CK4,Langfang,A_5_14,2015-04-12,2015,102,0,3,0
A,Langfang_CK5,Langfang,A_1_14,2015-04-12,2015,102,0,2,0
A,Langfang_CK5,Langfang,A_2_14,2015-04-12,2015,102,1,1,0
A,Langfang_CK5,Langfang,A_3_14,2015-04-12,2015,102,0,3,0
A,Langfang_CK5,Langfang,A_4_14,2015-04-12,2015,102,0,2,0
A,Langfang_CK5,Langfang,A_5_14,2015-04-12,2015,102,0,3,0
A,Langfang_CK6,Langfang,A_1_14,2015-04-12,2015,102,0,3,0
A,Langfang_CK6,Langfang,A_2_14,2015-04-12,2015,102,1,3,0
A,Langfang_CK6,Langfang,A_3_14,2015-04-12,2015,102,0,2,0
A,Langfang_CK6,Langfang,A_4_14,2015-04-12,2015,102,0,4,0
A,Langfang_CK6,Langfang,A_5_14,2015-04-12,2015,102,0,4,0
E,Langfang_E1,Langfang,E_1_14,2015-04-12,2015,102,0,17,0
E,Langfang_E1,Langfang,E_2_14,2015-04-12,2015,102,0,17,0
E,Langfang_E1,Langfang,E_3_14,2015-04-12,2015,102,0,14,0
E,Langfang_E1,Langfang,E_4_14,2015-04-12,2015,102,0,21,0
E,Langfang_E1,Langfang,E_5_14,2015-04-12,2015,102,0,13,0
E,Langfang_E2,Langfang,E_1_14,2015-04-12,2015,102,0,8,0
E,Langfang_E2,Langfang,E_2_14,2015-04-12,2015,102,0,7,0
E,Langfang_E2,Langfang,E_3_14,2015-04-12,2015,102,0,11,0
E,Langfang_E2,Langfang,E_4_14,2015-04-12,2015,102,0,7,0
E,Langfang_E2,Langfang,E_5_14,2015-04-12,2015,102,0,10,0
E,Langfang_E3,Langfang,E_1_14,2015-04-12,2015,102,0,15,0
E,Langfang_E3,Langfang,E_2_14,2015-04-12,2015,102,0,19,0
E,Langfang_E3,Langfang,E_3_14,2015-04-12,2015,102,0,18,0
E,Langfang_E3,Langfang,E_4_14,2015-04-12,2015,102,0,16,0
E,Langfang_E3,Langfang,E_5_14,2015-04-12,2015,102,0,11,0
E,Langfang_E4,Langfang,E_1_14,2015-04-12,2015,102,0,31,0
E,Langfang_E4,Langfang,E_2_14,2015-04-12,2015,102,1,28,0
E,Langfang_E4,Langfang,E_3_14,2015-04-12,2015,102,0,32,0
E,Langfang_E4,Langfang,E_4_14,2015-04-12,2015,102,0,26,0
E,Langfang_E4,Langfang,E_5_14,2015-04-12,2015,102,1,34,0
E,Langfang_E5,Langfang,E_1_14,2015-04-12,2015,102,0,46,0
E,Langfang_E5,Langfang,E_2_14,2015-04-12,2015,102,0,39,0
E,Langfang_E5,Langfang,E_3_14,2015-04-12,2015,102,1,49,0
E,Langfang_E5,Langfang,E_4_14,2015-04-12,2015,102,0,48,0
E,Langfang_E5,Langfang,E_5_14,2015-04-12,2015,102,0,51,0
E,Langfang_E6,Langfang,E_1_14,2015-04-12,2015,102,0,10,0
E,Langfang_E6,Langfang,E_2_14,2015-04-12,2015,102,0,8,0
E,Langfang_E6,Langfang,E_3_14,2015-04-12,2015,102,2,12,0
E,Langfang_E6,Langfang,E_4_14,2015-04-12,2015,102,0,9,0
E,Langfang_E6,Langfang,E_5_14,2015-04-12,2015,102,0,8,0
A,Langfang_CK1,Langfang,A_1_14,2015-04-17,2015,107,0,10,0
A,Langfang_CK1,Langfang,A_2_14,2015-04-17,2015,107,0,11,0
A,Langfang_CK1,Langfang,A_3_14,2015-04-17,2015,107,0,10,0
A,Langfang_CK1,Langfang,A_4_14,2015-04-17,2015,107,0,9,0
A,Langfang_CK1,Langfang,A_5_14,2015-04-17,2015,107,0,12,0
A,Langfang_CK2,Langfang,A_1_14,2015-04-17,2015,107,0,10,0
A,Langfang_CK2,Langfang,A_2_14,2015-04-17,2015,107,2,9,0
A,Langfang_CK2,Langfang,A_3_14,2015-04-17,2015,107,0,9,0
A,Langfang_CK2,Langfang,A_4_14,2015-04-17,2015,107,0,8,0
A,Langfang_CK2,Langfang,A_5_14,2015-04-17,2015,107,2,12,0
A,Langfang_CK3,Langfang,A_1_14,2015-04-17,2015,107,0,19,0
A,Langfang_CK3,Langfang,A_2_14,2015-04-17,2015,107,0,20,0
A,Langfang_CK3,Langfang,A_3_14,2015-04-17,2015,107,0,17,0
A,Langfang_CK3,Langfang,A_4_14,2015-04-17,2015,107,0,21,0
A,Langfang_CK3,Langfang,A_5_14,2015-04-17,2015,107,0,23,0
A,Langfang_CK4,Langfang,A_1_14,2015-04-17,2015,107,0,5,0
A,Langfang_CK4,Langfang,A_2_14,2015-04-17,2015,107,0,5,0
A,Langfang_CK4,Langfang,A_3_14,2015-04-17,2015,107,0,8,0
A,Langfang_CK4,Langfang,A_4_14,2015-04-17,2015,107,0,4,0
A,Langfang_CK4,Langfang,A_5_14,2015-04-17,2015,107,0,5,0
A,Langfang_CK5,Langfang,A_1_14,2015-04-17,2015,107,0,9,0
A,Langfang_CK5,Langfang,A_2_14,2015-04-17,2015,107,0,10,0
A,Langfang_CK5,Langfang,A_3_14,2015-04-17,2015,107,0,7,0
A,Langfang_CK5,Langfang,A_4_14,2015-04-17,2015,107,0,9,0
A,Langfang_CK5,Langfang,A_5_14,2015-04-17,2015,107,0,13,0
A,Langfang_CK6,Langfang,A_1_14,2015-04-17,2015,107,0,8,0
A,Langfang_CK6,Langfang,A_2_14,2015-04-17,2015,107,0,8,0
A,Langfang_CK6,Langfang,A_3_14,2015-04-17,2015,107,1,7,0
A,Langfang_CK6,Langfang,A_4_14,2015-04-17,2015,107,0,9,0
A,Langfang_CK6,Langfang,A_5_14,2015-04-17,2015,107,0,5,0
E,Langfang_E1,Langfang,E_1_14,2015-04-17,2015,107,0,16,0
E,Langfang_E1,Langfang,E_2_14,2015-04-17,2015,107,0,18,0
E,Langfang_E1,Langfang,E_3_14,2015-04-17,2015,107,0,15,0
E,Langfang_E1,Langfang,E_4_14,2015-04-17,2015,107,0,21,0
E,Langfang_E1,Langfang,E_5_14,2015-04-17,2015,107,0,15,0
E,Langfang_E2,Langfang,E_1_14,2015-04-17,2015,107,1,20,0
E,Langfang_E2,Langfang,E_2_14,2015-04-17,2015,107,0,21,0
E,Langfang_E2,Langfang,E_3_14,2015-04-17,2015,107,0,22,0
E,Langfang_E2,Langfang,E_4_14,2015-04-17,2015,107,0,19,0
E,Langfang_E2,Langfang,E_5_14,2015-04-17,2015,107,0,22,0
E,Langfang_E3,Langfang,E_1_14,2015-04-17,2015,107,0,35,0
E,Langfang_E3,Langfang,E_2_14,2015-04-17,2015,107,0,33,0
E,Langfang_E3,Langfang,E_3_14,2015-04-17,2015,107,0,31,0
E,Langfang_E3,Langfang,E_4_14,2015-04-17,2015,107,0,36,0
E,Langfang_E3,Langfang,E_5_14,2015-04-17,2015,107,0,39,0
E,Langfang_E4,Langfang,E_1_14,2015-04-17,2015,107,0,54,0
E,Langfang_E4,Langfang,E_2_14,2015-04-17,2015,107,0,49,0
E,Langfang_E4,Langfang,E_3_14,2015-04-17,2015,107,0,51,0
E,Langfang_E4,Langfang,E_4_14,2015-04-17,2015,107,0,56,0
E,Langfang_E4,Langfang,E_5_14,2015-04-17,2015,107,0,59,0
E,Langfang_E5,Langfang,E_1_14,2015-04-17,2015,107,0,68,0
E,Langfang_E5,Langfang,E_2_14,2015-04-17,2015,107,0,56,0
E,Langfang_E5,Langfang,E_3_14,2015-04-17,2015,107,2,66,0
E,Langfang_E5,Langfang,E_4_14,2015-04-17,2015,107,0,64,0
E,Langfang_E5,Langfang,E_5_14,2015-04-17,2015,107,0,84,0
E,Langfang_E6,Langfang,E_1_14,2015-04-17,2015,107,0,26,0
E,Langfang_E6,Langfang,E_2_14,2015-04-17,2015,107,0,29,0
E,Langfang_E6,Langfang,E_3_14,2015-04-17,2015,107,1,25,0
E,Langfang_E6,Langfang,E_4_14,2015-04-17,2015,107,0,26,0
E,Langfang_E6,Langfang,E_5_14,2015-04-17,2015,107,0,29,0
A,Langfang_CK1,Langfang,A_1_14,2015-04-22,2015,112,0,10,10
A,Langfang_CK1,Langfang,A_2_14,2015-04-22,2015,112,0,8,12
A,Langfang_CK1,Langfang,A_3_14,2015-04-22,2015,112,1,9,7
A,Langfang_CK1,Langfang,A_4_14,2015-04-22,2015,112,0,12,12
A,Langfang_CK1,Langfang,A_5_14,2015-04-22,2015,112,0,9,11
A,Langfang_CK2,Langfang,A_1_14,2015-04-22,2015,112,0,8,8
A,Langfang_CK2,Langfang,A_2_14,2015-04-22,2015,112,0,7,5
A,Langfang_CK2,Langfang,A_3_14,2015-04-22,2015,112,0,6,7
A,Langfang_CK2,Langfang,A_4_14,2015-04-22,2015,112,0,9,11
A,Langfang_CK2,Langfang,A_5_14,2015-04-22,2015,112,0,11,6
A,Langfang_CK3,Langfang,A_1_14,2015-04-22,2015,112,0,12,12
A,Langfang_CK3,Langfang,A_2_14,2015-04-22,2015,112,0,13,7
A,Langfang_CK3,Langfang,A_3_14,2015-04-22,2015,112,0,11,14
A,Langfang_CK3,Langfang,A_4_14,2015-04-22,2015,112,0,11,17
A,Langfang_CK3,Langfang,A_5_14,2015-04-22,2015,112,0,16,12
A,Langfang_CK4,Langfang,A_1_14,2015-04-22,2015,112,0,16,16
A,Langfang_CK4,Langfang,A_2_14,2015-04-22,2015,112,0,14,17
A,Langfang_CK4,Langfang,A_3_14,2015-04-22,2015,112,0,13,16
A,Langfang_CK4,Langfang,A_4_14,2015-04-22,2015,112,0,19,16
A,Langfang_CK4,Langfang,A_5_14,2015-04-22,2015,112,0,17,10
A,Langfang_CK5,Langfang,A_1_14,2015-04-22,2015,112,0,12,12
A,Langfang_CK5,Langfang,A_2_14,2015-04-22,2015,112,0,11,10
A,Langfang_CK5,Langfang,A_3_14,2015-04-22,2015,112,0,13,8
A,Langfang_CK5,Langfang,A_4_14,2015-04-22,2015,112,0,9,17
A,Langfang_CK5,Langfang,A_5_14,2015-04-22,2015,112,0,16,15
A,Langfang_CK6,Langfang,A_1_14,2015-04-22,2015,112,0,6,6
A,Langfang_CK6,Langfang,A_2_14,2015-04-22,2015,112,0,5,6
A,Langfang_CK6,Langfang,A_3_14,2015-04-22,2015,112,0,6,3
A,Langfang_CK6,Langfang,A_4_14,2015-04-22,2015,112,0,6,5
A,Langfang_CK6,Langfang,A_5_14,2015-04-22,2015,112,0,5,8
E,Langfang_E1,Langfang,E_1_14,2015-04-22,2015,112,0,14,14
E,Langfang_E1,Langfang,E_2_14,2015-04-22,2015,112,0,13,11
E,Langfang_E1,Langfang,E_3_14,2015-04-22,2015,112,0,11,21
E,Langfang_E1,Langfang,E_4_14,2015-04-22,2015,112,0,18,8
E,Langfang_E1,Langfang,E_5_14,2015-04-22,2015,112,0,18,17
E,Langfang_E2,Langfang,E_1_14,2015-04-22,2015,112,0,7,7
E,Langfang_E2,Langfang,E_2_14,2015-04-22,2015,112,0,5,5
E,Langfang_E2,Langfang,E_3_14,2015-04-22,2015,112,0,7,6
E,Langfang_E2,Langfang,E_4_14,2015-04-22,2015,112,0,10,6
E,Langfang_E2,Langfang,E_5_14,2015-04-22,2015,112,0,7,10
E,Langfang_E3,Langfang,E_1_14,2015-04-22,2015,112,0,13,13
E,Langfang_E3,Langfang,E_2_14,2015-04-22,2015,112,0,11,17
E,Langfang_E3,Langfang,E_3_14,2015-04-22,2015,112,0,17,9
E,Langfang_E3,Langfang,E_4_14,2015-04-22,2015,112,0,12,12
E,Langfang_E3,Langfang,E_5_14,2015-04-22,2015,112,0,16,17
E,Langfang_E4,Langfang,E_1_14,2015-04-22,2015,112,0,29,29
E,Langfang_E4,Langfang,E_2_14,2015-04-22,2015,112,0,36,34
E,Langfang_E4,Langfang,E_3_14,2015-04-22,2015,112,0,27,35
E,Langfang_E4,Langfang,E_4_14,2015-04-22,2015,112,0,32,21
E,Langfang_E4,Langfang,E_5_14,2015-04-22,2015,112,0,23,33
E,Langfang_E5,Langfang,E_1_14,2015-04-22,2015,112,0,42,42
E,Langfang_E5,Langfang,E_2_14,2015-04-22,2015,112,0,38,38
E,Langfang_E5,Langfang,E_3_14,2015-04-22,2015,112,0,44,42
E,Langfang_E5,Langfang,E_4_14,2015-04-22,2015,112,0,36,48
E,Langfang_E5,Langfang,E_5_14,2015-04-22,2015,112,0,52,47
E,Langfang_E6,Langfang,E_1_14,2015-04-22,2015,112,0,39,39
E,Langfang_E6,Langfang,E_2_14,2015-04-22,2015,112,0,36,41
E,Langfang_E6,Langfang,E_3_14,2015-04-22,2015,112,0,45,37
E,Langfang_E6,Langfang,E_4_14,2015-04-22,2015,112,0,42,33
E,Langfang_E6,Langfang,E_5_14,2015-04-22,2015,112,1,31,45
A,Langfang_CK1,Langfang,A_1_14,2015-04-27,2015,117,0,52,3
A,Langfang_CK1,Langfang,A_2_14,2015-04-27,2015,117,1,51,5
A,Langfang_CK1,Langfang,A_3_14,2015-04-27,2015,117,0,55,2
A,Langfang_CK1,Langfang,A_4_14,2015-04-27,2015,117,0,48,3
A,Langfang_CK1,Langfang,A_5_14,2015-04-27,2015,117,0,59,3
A,Langfang_CK2,Langfang,A_1_14,2015-04-27,2015,117,0,10,2
A,Langfang_CK2,Langfang,A_2_14,2015-04-27,2015,117,0,11,3
A,Langfang_CK2,Langfang,A_3_14,2015-04-27,2015,117,0,9,1
A,Langfang_CK2,Langfang,A_4_14,2015-04-27,2015,117,0,9,2
A,Langfang_CK2,Langfang,A_5_14,2015-04-27,2015,117,0,13,1
A,Langfang_CK3,Langfang,A_1_14,2015-04-27,2015,117,0,55,6
A,Langfang_CK3,Langfang,A_2_14,2015-04-27,2015,117,0,56,6
A,Langfang_CK3,Langfang,A_3_14,2015-04-27,2015,117,1,60,9
A,Langfang_CK3,Langfang,A_4_14,2015-04-27,2015,117,0,57,6
A,Langfang_CK3,Langfang,A_5_14,2015-04-27,2015,117,0,50,4
A,Langfang_CK4,Langfang,A_1_14,2015-04-27,2015,117,0,41,3
A,Langfang_CK4,Langfang,A_2_14,2015-04-27,2015,117,0,42,2
A,Langfang_CK4,Langfang,A_3_14,2015-04-27,2015,117,0,41,1
A,Langfang_CK4,Langfang,A_4_14,2015-04-27,2015,117,0,36,3
A,Langfang_CK4,Langfang,A_5_14,2015-04-27,2015,117,0,48,2
A,Langfang_CK5,Langfang,A_1_14,2015-04-27,2015,117,0,76,3
A,Langfang_CK5,Langfang,A_2_14,2015-04-27,2015,117,0,73,0
A,Langfang_CK5,Langfang,A_3_14,2015-04-27,2015,117,0,81,5
A,Langfang_CK5,Langfang,A_4_14,2015-04-27,2015,117,0,78,4
A,Langfang_CK5,Langfang,A_5_14,2015-04-27,2015,117,0,83,0
A,Langfang_CK6,Langfang,A_1_14,2015-04-27,2015,117,0,31,1
A,Langfang_CK6,Langfang,A_2_14,2015-04-27,2015,117,0,33,1
A,Langfang_CK6,Langfang,A_3_14,2015-04-27,2015,117,0,30,0
A,Langfang_CK6,Langfang,A_4_14,2015-04-27,2015,117,0,34,2
A,Langfang_CK6,Langfang,A_5_14,2015-04-27,2015,117,0,33,1
E,Langfang_E1,Langfang,E_1_14,2015-04-27,2015,117,0,62,7
E,Langfang_E1,Langfang,E_2_14,2015-04-27,2015,117,0,63,7
E,Langfang_E1,Langfang,E_3_14,2015-04-27,2015,117,1,69,7
E,Langfang_E1,Langfang,E_4_14,2015-04-27,2015,117,0,57,6
E,Langfang_E1,Langfang,E_5_14,2015-04-27,2015,117,0,70,10
E,Langfang_E2,Langfang,E_1_14,2015-04-27,2015,117,0,50,3
E,Langfang_E2,Langfang,E_2_14,2015-04-27,2015,117,0,49,2
E,Langfang_E2,Langfang,E_3_14,2015-04-27,2015,117,0,53,4
E,Langfang_E2,Langfang,E_4_14,2015-04-27,2015,117,0,57,3
E,Langfang_E2,Langfang,E_5_14,2015-04-27,2015,117,0,50,4
E,Langfang_E3,Langfang,E_1_14,2015-04-27,2015,117,0,53,4
E,Langfang_E3,Langfang,E_2_14,2015-04-27,2015,117,0,59,2
E,Langfang_E3,Langfang,E_3_14,2015-04-27,2015,117,0,47,2
E,Langfang_E3,Langfang,E_4_14,2015-04-27,2015,117,0,50,6
E,Langfang_E3,Langfang,E_5_14,2015-04-27,2015,117,0,55,9
E,Langfang_E4,Langfang,E_1_14,2015-04-27,2015,117,0,57,3
E,Langfang_E4,Langfang,E_2_14,2015-04-27,2015,117,0,49,2
E,Langfang_E4,Langfang,E_3_14,2015-04-27,2015,117,0,53,2
E,Langfang_E4,Langfang,E_4_14,2015-04-27,2015,117,0,50,1
E,Langfang_E4,Langfang,E_5_14,2015-04-27,2015,117,0,69,4
E,Langfang_E5,Langfang,E_1_14,2015-04-27,2015,117,0,36,11
E,Langfang_E5,Langfang,E_2_14,2015-04-27,2015,117,0,37,13
E,Langfang_E5,Langfang,E_3_14,2015-04-27,2015,117,0,41,11
E,Langfang_E5,Langfang,E_4_14,2015-04-27,2015,117,0,34,9
E,Langfang_E5,Langfang,E_5_14,2015-04-27,2015,117,0,27,8
E,Langfang_E6,Langfang,E_1_14,2015-04-27,2015,117,0,58,4
E,Langfang_E6,Langfang,E_2_14,2015-04-27,2015,117,2,61,6
E,Langfang_E6,Langfang,E_3_14,2015-04-27,2015,117,0,54,2
E,Langfang_E6,Langfang,E_4_14,2015-04-27,2015,117,0,52,2
E,Langfang_E6,Langfang,E_5_14,2015-04-27,2015,117,0,72,3
A,Langfang_CK1,Langfang,A_1_14,2015-05-02,2015,122,0,253,47
A,Langfang_CK1,Langfang,A_2_14,2015-05-02,2015,122,0,261,33
A,Langfang_CK1,Langfang,A_3_14,2015-05-02,2015,122,0,247,58
A,Langfang_CK1,Langfang,A_4_14,2015-05-02,2015,122,0,238,59
A,Langfang_CK1,Langfang,A_5_14,2015-05-02,2015,122,0,275,45
A,Langfang_CK2,Langfang,A_1_14,2015-05-02,2015,122,0,295,17
A,Langfang_CK2,Langfang,A_2_14,2015-05-02,2015,122,0,290,10
A,Langfang_CK2,Langfang,A_3_14,2015-05-02,2015,122,0,299,21
A,Langfang_CK2,Langfang,A_4_14,2015-05-02,2015,122,0,293,14
A,Langfang_CK2,Langfang,A_5_14,2015-05-02,2015,122,0,306,15
A,Langfang_CK3,Langfang,A_1_14,2015-05-02,2015,122,2,209,7
A,Langfang_CK3,Langfang,A_2_14,2015-05-02,2015,122,0,201,10
A,Langfang_CK3,Langfang,A_3_14,2015-05-02,2015,122,0,204,6
A,Langfang_CK3,Langfang,A_4_14,2015-05-02,2015,122,0,210,4
A,Langfang_CK3,Langfang,A_5_14,2015-05-02,2015,122,0,235,7
A,Langfang_CK4,Langfang,A_1_14,2015-05-02,2015,122,0,282,13
A,Langfang_CK4,Langfang,A_2_14,2015-05-02,2015,122,0,288,17
A,Langfang_CK4,Langfang,A_3_14,2015-05-02,2015,122,0,279,10
A,Langfang_CK4,Langfang,A_4_14,2015-05-02,2015,122,0,280,13
A,Langfang_CK4,Langfang,A_5_14,2015-05-02,2015,122,0,291,9
A,Langfang_CK5,Langfang,A_1_14,2015-05-02,2015,122,0,253,5
A,Langfang_CK5,Langfang,A_2_14,2015-05-02,2015,122,0,268,7
A,Langfang_CK5,Langfang,A_3_14,2015-05-02,2015,122,0,257,2
A,Langfang_CK5,Langfang,A_4_14,2015-05-02,2015,122,0,249,5
A,Langfang_CK5,Langfang,A_5_14,2015-05-02,2015,122,0,247,4
A,Langfang_CK6,Langfang,A_1_14,2015-05-02,2015,122,0,296,9
A,Langfang_CK6,Langfang,A_2_14,2015-05-02,2015,122,0,289,6
A,Langfang_CK6,Langfang,A_3_14,2015-05-02,2015,122,0,310,9
A,Langfang_CK6,Langfang,A_4_14,2015-05-02,2015,122,0,318,7
A,Langfang_CK6,Langfang,A_5_14,2015-05-02,2015,122,1,287,13
E,Langfang_E1,Langfang,E_1_14,2015-05-02,2015,122,0,694,42
E,Langfang_E1,Langfang,E_2_14,2015-05-02,2015,122,0,676,42
E,Langfang_E1,Langfang,E_3_14,2015-05-02,2015,122,2,712,38
E,Langfang_E1,Langfang,E_4_14,2015-05-02,2015,122,0,688,46
E,Langfang_E1,Langfang,E_5_14,2015-05-02,2015,122,0,711,44
E,Langfang_E2,Langfang,E_1_14,2015-05-02,2015,122,0,442,1
E,Langfang_E2,Langfang,E_2_14,2015-05-02,2015,122,2,436,1
E,Langfang_E2,Langfang,E_3_14,2015-05-02,2015,122,0,409,1
E,Langfang_E2,Langfang,E_4_14,2015-05-02,2015,122,0,458,1
E,Langfang_E2,Langfang,E_5_14,2015-05-02,2015,122,0,466,1
E,Langfang_E3,Langfang,E_1_14,2015-05-02,2015,122,0,612,18
E,Langfang_E3,Langfang,E_2_14,2015-05-02,2015,122,0,612,14
E,Langfang_E3,Langfang,E_3_14,2015-05-02,2015,122,0,598,17
E,Langfang_E3,Langfang,E_4_14,2015-05-02,2015,122,1,616,20
E,Langfang_E3,Langfang,E_5_14,2015-05-02,2015,122,0,631,14
E,Langfang_E4,Langfang,E_1_14,2015-05-02,2015,122,0,829,0
E,Langfang_E4,Langfang,E_2_14,2015-05-02,2015,122,0,862,0
E,Langfang_E4,Langfang,E_3_14,2015-05-02,2015,122,0,840,0
E,Langfang_E4,Langfang,E_4_14,2015-05-02,2015,122,0,816,0
E,Langfang_E4,Langfang,E_5_14,2015-05-02,2015,122,0,824,0
E,Langfang_E5,Langfang,E_1_14,2015-05-02,2015,122,0,667,22
E,Langfang_E5,Langfang,E_2_14,2015-05-02,2015,122,0,663,17
