TargetName,HUGOSymbol,TargetGroup,AnalyteType,CodeClass,ProbePool,MinCount,MaxCount,MedianCount,GeomeanCount,NumberOfProbesIncluded,NumberOfProbesTotal,GeneID
EFCAB5,EFCAB5,All Targets,RNA,Endogenous,1,1,41,7,6.698532655,1,1,374786
SLC7A9,SLC7A9,All Targets,RNA,Endogenous,1,1,27,7,5.77881221,1,1,11136
OR5AP2,OR5AP2,All Targets,RNA,Endogenous,1,1,24,7,6.113075709,1,1,338675
TP53,TP53,All Targets,RNA,Endogenous,1,1,93,19,15.4365057,1,1,7157
KPNA6,KPNA6,All Targets,RNA,Endogenous,1,1,49,12,9.998032871,1,1,23633
KLF15,KLF15,All Targets,RNA,Endogenous,1,1,32,8,6.585595622,1,1,28999
TRIM11,TRIM11,All Targets,RNA,Endogenous,1,1,26,6,5.412485195,1,1,81559
LOXL1,LOXL1,All Targets,RNA,Endogenous,1,5,198,21,21.49691533,1,1,4016
KRTAP29-1,KRTAP29-1,All Targets,RNA,Endogenous,1,1,44,10,9.29518955,1,1,100533177
FAM83H,FAM83H,All Targets,RNA,Endogenous,1,1,70,9,8.997297538,1,1,286077
GPAM,GPAM,All Targets,RNA,Endogenous,1,1,21,5,4.20178904,1,1,57678
OR1L6,OR1L6,All Targets,RNA,Endogenous,1,1,20,5,4.499327823,1,1,392390
PRPF38A,PRPF38A,All Targets,RNA,Endogenous,1,1,72,14,11.83087354,1,1,84950
HIGD2B,HIGD2B,All Targets,RNA,Endogenous,1,1,36,7,6.359137984,1,1,123346
KLC2,KLC2,All Targets,RNA,Endogenous,1,1,98,23,18.902342,1,1,64837
ZNF438,ZNF438,All Targets,RNA,Endogenous,1,1,43,8,6.835795415,1,1,220929
SLC38A1,SLC38A1,All Targets,RNA,Endogenous,1,1,98,19,18.2231668,1,1,81539
ADGRE1,ADGRE1,All Targets,RNA,Endogenous,1,1,28,6,5.524709441,1,1,2015
IL17D,IL17D,All Targets,RNA,Endogenous,1,1,24,5,4.376843383,1,1,53342
RIMKLA,RIMKLA,All Targets,RNA,Endogenous,1,1,29,7,5.922790764,1,1,284716
TARS1,TARS1,All Targets,RNA,Endogenous,1,1,49,9,7.82192829,1,1,6897
SUSD5,SUSD5,All Targets,RNA,Endogenous,1,1,32,6,5.324414475,1,1,26032
APOL1,APOL1,All Targets,RNA,Endogenous,1,1,768,18,24.04415342,1,1,8542
CRTC3,CRTC3,All Targets,RNA,Endogenous,1,1,57,10,9.377693283,1,1,64784
B4GALNT4,B4GALNT4,All Targets,RNA,Endogenous,1,1,17,4,3.663822274,1,1,338707
CDAN1,CDAN1,All Targets,RNA,Endogenous,1,1,33,8,7.279195512,1,1,146059
CCDC134,CCDC134,All Targets,RNA,Endogenous,1,1,63,11,10.00316918,1,1,79879
HPS3,HPS3,All Targets,RNA,Endogenous,1,1,52,13,11.00943389,1,1,84343
PRSS54,PRSS54,All Targets,RNA,Endogenous,1,1,19,6,4.77298457,1,1,221191
INPP5E,INPP5E,All Targets,RNA,Endogenous,1,1,38,10,7.99050752,1,1,56623
USP17L12,"USP17L2,USP17L5,USP17L28,USP17L29,USP17L22,USP17L20,USP17L21,USP17L26,USP17L27,USP17L24,USP17L25,USP17L9P,USP17L6P,USP17L30,USP17L17,USP17L15,USP17L13,USP17L12,USP17L11,USP17L10,USP17L19,USP17L18",All Targets,RNA,Endogenous,1,6,419,86,82.18992861,1,1,100287205
SPEF2,SPEF2,All Targets,RNA,Endogenous,1,1,34,7,6.172741325,1,1,79925
LIF,LIF,All Targets,RNA,Endogenous,1,1,93,15,15.10327112,1,1,3976
OSBPL3,OSBPL3,All Targets,RNA,Endogenous,1,1,95,19,15.95916282,1,1,26031
ENOPH1,ENOPH1,All Targets,RNA,Endogenous,1,1,65,12,10.8963476,1,1,58478
IGSF11,IGSF11,All Targets,RNA,Endogenous,1,1,22,6,5.418676323,1,1,152404
IL2,IL2,All Targets,RNA,Endogenous,1,1,45,6,5.959787318,1,1,3558
TAGAP,TAGAP,All Targets,RNA,Endogenous,1,1,90,10,9.73494974,1,1,117289
CENPA,CENPA,All Targets,RNA,Endogenous,1,1,56,10,8.271799198,1,1,1058
LTA4H,LTA4H,All Targets,RNA,Endogenous,1,1,53,12,9.557836553,1,1,4048
HIF3A,HIF3A,All Targets,RNA,Endogenous,1,1,32,7,5.599165819,1,1,64344
VCL,VCL,All Targets,RNA,Endogenous,1,1,59,11,9.433824239,1,1,7414
LY9,LY9,All Targets,RNA,Endogenous,1,1,47,7,7.125834278,1,1,4063
CA8,CA8,All Targets,RNA,Endogenous,1,1,19,4,3.542129153,1,1,767
HINFP,HINFP,All Targets,RNA,Endogenous,1,1,42,12,10.94255579,1,1,25988
CLDN2,CLDN2,All Targets,RNA,Endogenous,1,1,337,11,13.36600281,1,1,9075
AGRP,AGRP,All Targets,RNA,Endogenous,1,1,41,8,7.106184615,1,1,181
TMEM130,TMEM130,All Targets,RNA,Endogenous,1,1,37,7,6.227745472,1,1,222865
PKP2,PKP2,All Targets,RNA,Endogenous,1,1,33,10,8.503513569,1,1,5318
ZNF782,ZNF782,All Targets,RNA,Endogenous,1,1,25,7,5.229450449,1,1,158431
UBB,"UBBP4,UBB",All Targets,RNA,Endogenous,1,2,208,45,36.06597382,1,1,7314
MTHFD2,MTHFD2,All Targets,RNA,Endogenous,1,1,110,18,16.81941699,1,1,10797
PGAM2,PGAM2,All Targets,RNA,Endogenous,1,1,23,5,4.568850652,1,1,5224
AS3MT,"AS3MT,BORCS7-ASMT",All Targets,RNA,Endogenous,1,1,23,6,5.77477303,1,1,57412
FLII,FLII,All Targets,RNA,Endogenous,1,1,67,15,14.02179552,1,1,2314
RIPK4,RIPK4,All Targets,RNA,Endogenous,1,1,40,8,7.947718088,1,1,54101
PIGO,PIGO,All Targets,RNA,Endogenous,1,1,72,12,11.27493871,1,1,84720
NSMF,NSMF,All Targets,RNA,Endogenous,1,1,64,11,9.071772902,1,1,26012
CMTM4,CMTM4,All Targets,RNA,Endogenous,1,1,41,9,7.389678705,1,1,146223
RGS14,RGS14,All Targets,RNA,Endogenous,1,1,74,16,13.28235375,1,1,10636
FOCAD,FOCAD,All Targets,RNA,Endogenous,1,1,30,7,5.951110252,1,1,54914
PNPLA6,PNPLA6,All Targets,RNA,Endogenous,1,1,93,20,16.64685337,1,1,10908
KLHL10,KLHL10,All Targets,RNA,Endogenous,1,1,37,7,6.251644885,1,1,317719
OR5W2,OR5W2,All Targets,RNA,Endogenous,1,1,27,5,4.834166358,1,1,390148
RTL1,RTL1,All Targets,RNA,Endogenous,1,1,44,7,6.641419595,1,1,388015
PCP4,PCP4,All Targets,RNA,Endogenous,1,1,34,5,4.627807552,1,1,5121
PBOV1,PBOV1,All Targets,RNA,Endogenous,1,1,27,5,4.430735217,1,1,59351
ABCC8,ABCC8,All Targets,RNA,Endogenous,1,1,33,8,7.240673654,1,1,6833
CRYZL1,CRYZL1,All Targets,RNA,Endogenous,1,1,42,11,9.543977084,1,1,9946
DEGS2,DEGS2,All Targets,RNA,Endogenous,1,2,111,25,22.38161004,1,1,123099
VAT1,VAT1,All Targets,RNA,Endogenous,1,1,72,16,14.10255107,1,1,10493
NOXA1,NOXA1,All Targets,RNA,Endogenous,1,1,49,9,8.048544314,1,1,10811
SPRR1A,SPRR1A,All Targets,RNA,Endogenous,1,1,32,6,4.995471144,1,1,6698
PRR14L,PRR14L,All Targets,RNA,Endogenous,1,1,48,13,10.61473128,1,1,253143
ITPRIPL1,ITPRIPL1,All Targets,RNA,Endogenous,1,1,67,9,9.297537069,1,1,150771
AMPD1,AMPD1,All Targets,RNA,Endogenous,1,1,29,7,5.993539557,1,1,270
SSTR4,SSTR4,All Targets,RNA,Endogenous,1,3,176,41,34.50856442,1,1,6754
NXPH3,NXPH3,All Targets,RNA,Endogenous,1,1,40,6,5.902591786,1,1,11248
SGTA,SGTA,All Targets,RNA,Endogenous,1,1,69,18,14.89214198,1,1,6449
GNB1L,GNB1L,All Targets,RNA,Endogenous,1,1,35,6,5.24467722,1,1,54584
CFAP58,CFAP58,All Targets,RNA,Endogenous,1,1,62,14,12.14212512,1,1,159686
CLK4,CLK4,All Targets,RNA,Endogenous,1,1,68,15,12.12102639,1,1,57396
TSHR,TSHR,All Targets,RNA,Endogenous,1,1,27,7,5.816438221,1,1,7253
DZIP1L,DZIP1L,All Targets,RNA,Endogenous,1,1,73,18,16.53056114,1,1,199221
SH3GL3,SH3GL3,All Targets,RNA,Endogenous,1,1,33,6,4.897412754,1,1,6457
MARCHF1,MARCHF1,All Targets,RNA,Endogenous,1,1,28,7,5.804585323,1,1,55016
TGS1,TGS1,All Targets,RNA,Endogenous,1,1,38,8,7.530797035,1,1,96764
RPL37A,RPL37A,All Targets,RNA,Endogenous,1,15,856,167,164.7577554,1,1,6168
GBP7,GBP7,All Targets,RNA,Endogenous,1,1,31,5,4.31841911,1,1,388646
KLF17,KLF17,All Targets,RNA,Endogenous,1,1,24,4,3.436775746,1,1,128209
PDLIM2,PDLIM2,All Targets,RNA,Endogenous,1,1,68,9,8.557298399,1,1,64236
KDM6B,KDM6B,All Targets,RNA,Endogenous,1,1,73,11,10.81238816,1,1,23135
LSM4,LSM4,All Targets,RNA,Endogenous,1,1,91,15,13.36875452,1,1,25804
PRIM1,PRIM1,All Targets,RNA,Endogenous,1,1,32,7,5.995199683,1,1,5557
PATE1,PATE1,All Targets,RNA,Endogenous,1,1,35,7,6.244488843,1,1,160065
CCL5,CCL5,All Targets,RNA,Endogenous,1,3,564,40,37.82436345,1,1,6352
PKD2L1,PKD2L1,All Targets,RNA,Endogenous,1,1,31,7,6.026970676,1,1,9033
WDR97,WDR97,All Targets,RNA,Endogenous,1,1,26,6,5.127218671,1,1,340390
HINT2,HINT2,All Targets,RNA,Endogenous,1,1,57,16,11.85583166,1,1,84681
P3R3URF,P3R3URF,All Targets,RNA,Endogenous,1,1,45,9,7.798194125,1,1,110117498
CCPG1,CCPG1,All Targets,RNA,Endogenous,1,1,38,8,6.859147357,1,1,9236
NUFIP1,NUFIP1,All Targets,RNA,Endogenous,1,1,60,11,9.375208985,1,1,26747
OR4C12,OR4C12,All Targets,RNA,Endogenous,1,1,51,9,8.308948319,1,1,283093
PARP10,PARP10,All Targets,RNA,Endogenous,1,1,76,14,12.67196693,1,1,84875
TXNDC11,TXNDC11,All Targets,RNA,Endogenous,1,1,140,24,20.74702388,1,1,51061
FAM241B,FAM241B,All Targets,RNA,Endogenous,1,1,37,9,7.254994339,1,1,219738
SLC18A1,SLC18A1,All Targets,RNA,Endogenous,1,1,29,7,6.413421414,1,1,6570
ATP5MC2,ATP5MC2,All Targets,RNA,Endogenous,1,4,825,105,80.9257774,1,1,517
LIPT2,LIPT2,All Targets,RNA,Endogenous,1,1,26,6,5.145838889,1,1,387787
KIAA0040,KIAA0040,All Targets,RNA,Endogenous,1,1,32,8,6.867488625,1,1,9674
YWHAG,YWHAG,All Targets,RNA,Endogenous,1,1,68,19,14.99538167,1,1,7532
RNF5,"RNF5P1,RNF5",All Targets,RNA,Endogenous,1,1,53,13,10.52998373,1,1,6048
RNASE3,RNASE3,All Targets,RNA,Endogenous,1,1,29,6,5.21199018,1,1,6037
HPDL,HPDL,All Targets,RNA,Endogenous,1,1,27,7,6.280787083,1,1,84842
F8A1,"F8A1,F8A3",All Targets,RNA,Endogenous,1,3,193,39,33.34278391,1,1,8263
HSFX3,"HSFX3,HSFX4",All Targets,RNA,Endogenous,1,1,36,8,7.187243315,1,1,101928917
EID2,EID2,All Targets,RNA,Endogenous,1,1,56,10,8.174626052,1,1,163126
TBC1D10C,TBC1D10C,All Targets,RNA,Endogenous,1,1,160,14,13.58724675,1,1,374403
SNX19,SNX19,All Targets,RNA,Endogenous,1,2,102,29,23.25999101,1,1,399979
CCND2,CCND2,All Targets,RNA,Endogenous,1,2,178,17,19.28150387,1,1,894
MOB1A,MOB1A,All Targets,RNA,Endogenous,1,2,212,36,32.84911365,1,1,55233
MTHFSD,MTHFSD,All Targets,RNA,Endogenous,1,1,42,9,7.669853699,1,1,64779
HBZ,HBZ,All Targets,RNA,Endogenous,1,1,67,18,14.77325712,1,1,3050
MFSD14C,MFSD14C,All Targets,RNA,Endogenous,1,1,48,10,9.579991781,1,1,84278
CGNL1,CGNL1,All Targets,RNA,Endogenous,1,1,36,7,6.577554511,1,1,84952
ZNF20,ZNF20,All Targets,RNA,Endogenous,1,1,43,7,6.845986762,1,1,7568
BDP1,BDP1,All Targets,RNA,Endogenous,1,1,45,12,9.386703297,1,1,55814
HECTD2,HECTD2,All Targets,RNA,Endogenous,1,1,43,10,8.396039479,1,1,143279
OTUD6B,OTUD6B,All Targets,RNA,Endogenous,1,1,57,13,10.2007934,1,1,51633
INTS13,INTS13,All Targets,RNA,Endogenous,1,1,55,9,8.734296345,1,1,55726
ABCA13,ABCA13,All Targets,RNA,Endogenous,1,1,28,7,5.914550607,1,1,154664
ARL5A,ARL5A,All Targets,RNA,Endogenous,1,1,38,9,7.730240765,1,1,26225
SLC18B1,SLC18B1,All Targets,RNA,Endogenous,1,1,31,6,6.057208012,1,1,116843
LCE2A,LCE2A,All Targets,RNA,Endogenous,1,1,15,4,3.40165193,1,1,353139
EIF2S2,EIF2S2,All Targets,RNA,Endogenous,1,3,144,32,28.55116343,1,1,8894
SNCAIP,SNCAIP,All Targets,RNA,Endogenous,1,1,27,7,6.306062802,1,1,9627
VIM,VIM,All Targets,RNA,Endogenous,1,18,1933,156,182.0615942,1,1,7431
KRTAP17-1,KRTAP17-1,All Targets,RNA,Endogenous,1,1,26,7,5.785586269,1,1,83902
COL24A1,COL24A1,All Targets,RNA,Endogenous,1,1,45,7,6.066380287,1,1,255631
CA12,CA12,All Targets,RNA,Endogenous,1,1,29,4,3.974097573,1,1,771
TROAP,TROAP,All Targets,RNA,Endogenous,1,1,57,11,9.485698104,1,1,10024
CD1A,CD1A,All Targets,RNA,Endogenous,1,1,47,9,8.220860058,1,1,909
TSG101,TSG101,All Targets,RNA,Endogenous,1,1,58,16,13.05218381,1,1,7251
ZBTB22,ZBTB22,All Targets,RNA,Endogenous,1,1,59,15,12.42625512,1,1,9278
CPLANE2,CPLANE2,All Targets,RNA,Endogenous,1,1,32,8,6.154108851,1,1,79363
CRKL,CRKL,All Targets,RNA,Endogenous,1,2,222,39,34.30899517,1,1,1399
ACOT12,ACOT12,All Targets,RNA,Endogenous,1,1,17,4,3.98086547,1,1,134526
CAPN14,CAPN14,All Targets,RNA,Endogenous,1,1,24,7,5.987537868,1,1,440854
LRRC3,LRRC3,All Targets,RNA,Endogenous,1,1,26,6,5.168512205,1,1,81543
CYP4F3,CYP4F3,All Targets,RNA,Endogenous,1,1,67,12,9.9061981,1,1,4051
MVD,MVD,All Targets,RNA,Endogenous,1,1,92,20,16.84243497,1,1,4597
FAM229A,FAM229A,All Targets,RNA,Endogenous,1,1,52,11,9.7655527,1,1,100128071
EOGT,EOGT,All Targets,RNA,Endogenous,1,1,32,7,6.134847153,1,1,285203
GUCY1A1,GUCY1A1,All Targets,RNA,Endogenous,1,1,42,8,7.175811741,1,1,2982
OR8B12,OR8B12,All Targets,RNA,Endogenous,1,1,30,6,5.738817717,1,1,219858
TRNAU1AP,TRNAU1AP,All Targets,RNA,Endogenous,1,1,55,10,8.079550482,1,1,54952
C9orf78,C9orf78,All Targets,RNA,Endogenous,1,1,51,11,10.07952748,1,1,51759
ZDHHC11,"ZDHHC11B,ZDHHC11",All Targets,RNA,Endogenous,1,1,44,11,9.605122383,1,1,79844
TEAD4,TEAD4,All Targets,RNA,Endogenous,1,1,22,7,5.272711208,1,1,7004
ADGB,ADGB,All Targets,RNA,Endogenous,1,1,22,3,3.35696491,1,1,79747
PCMTD2,PCMTD2,All Targets,RNA,Endogenous,1,1,45,8,6.886106942,1,1,55251
CHERP,CHERP,All Targets,RNA,Endogenous,1,1,69,18,14.43330546,1,1,10523
RPN2,RPN2,All Targets,RNA,Endogenous,1,1,166,34,29.22773031,1,1,6185
ATAD2B,ATAD2B,All Targets,RNA,Endogenous,1,1,40,8,6.90306199,1,1,54454
CENPC,CENPC,All Targets,RNA,Endogenous,1,1,49,9,8.112207046,1,1,1060
HOXC6,HOXC6,All Targets,RNA,Endogenous,1,1,49,8,8.381075567,1,1,3223
HMGN4,HMGN4,All Targets,RNA,Endogenous,1,2,142,21,18.80525572,1,1,10473
TH,TH,All Targets,RNA,Endogenous,1,1,26,5,4.511435469,1,1,7054
SLC29A3,SLC29A3,All Targets,RNA,Endogenous,1,1,32,7,6.934380007,1,1,55315
EHBP1L1,EHBP1L1,All Targets,RNA,Endogenous,1,1,205,25,23.50886219,1,1,254102
ADAR,ADAR,All Targets,RNA,Endogenous,1,2,201,45,36.48040797,1,1,103
ADRA1B,ADRA1B,All Targets,RNA,Endogenous,1,1,36,9,8.257751126,1,1,147
DTL,DTL,All Targets,RNA,Endogenous,1,1,40,9,7.445830839,1,1,51514
GET3,GET3,All Targets,RNA,Endogenous,1,1,120,24,20.44732738,1,1,439
TNIK,TNIK,All Targets,RNA,Endogenous,1,3,167,34,30.6681781,1,1,23043
NAGA,NAGA,All Targets,RNA,Endogenous,1,1,32,8,6.452703098,1,1,4668
OR2A4,"LOC107987545,OR2A4",All Targets,RNA,Endogenous,1,1,75,15,14.39316134,1,1,79541
ABCA1,ABCA1,All Targets,RNA,Endogenous,1,1,26,5,5.102260129,1,1,19
RGL3,RGL3,All Targets,RNA,Endogenous,1,1,41,8,6.856219564,1,1,57139
SARS2,SARS2,All Targets,RNA,Endogenous,1,1,62,15,13.89068147,1,1,54938
LRIG1,LRIG1,All Targets,RNA,Endogenous,1,1,37,8,7.442903523,1,1,26018
PDGFRB,PDGFRB,All Targets,RNA,Endogenous,1,1,58,8,7.192559397,1,1,5159
NRAP,NRAP,All Targets,RNA,Endogenous,1,1,34,8,6.797862752,1,1,4892
SYT1,SYT1,All Targets,RNA,Endogenous,1,1,27,6,5.737331714,1,1,6857
