ASV,Most_Likely,Alternative_Likely
ESV_067297,Gambusia affinis,NA
ESV_067298,Atherinops affinis,NA
ESV_067299,Eucyclogobius newberryi,NA
ESV_067300,Mugil cephalus,NA
ESV_067301,Gambusia affinis,NA
ESV_067302,Pimephales promelas,NA
ESV_067304,Mugil cephalus,NA
ESV_067306,Atherinops affinis,NA
ESV_067307,Atherinops affinis,NA
ESV_067308,Eucyclogobius newberryi,NA
ESV_067309,Atherinops affinis,NA
ESV_067310,Gillichthys mirabilis,NA
ESV_067311,Mugil cephalus,NA
ESV_067312,Gillichthys mirabilis,NA
ESV_067313,Gillichthys mirabilis,NA
ESV_067314,Atherinops affinis,NA
ESV_067315,Gambusia affinis,NA
ESV_067316,Gillichthys mirabilis,NA
ESV_067317,Gillichthys mirabilis,NA
ESV_067320,Gillichthys mirabilis,NA
ESV_067321,Gillichthys mirabilis,NA
ESV_067322,Gillichthys mirabilis,NA
ESV_067323,Pimephales promelas,NA
ESV_067325,Pimephales promelas,NA
ESV_067326,Hypsopsetta guttulata,NA
ESV_067328,Atherinops affinis,NA
ESV_067329,Atherinops affinis,NA
ESV_067331,Atherinops affinis,NA
ESV_067333,Gillichthys mirabilis,NA
ESV_067335,Eucyclogobius newberryi,NA
ESV_067338,Gillichthys mirabilis,NA
ESV_067341,Atherinops affinis,NA
ESV_067344,Atherinops affinis,NA
ESV_067346,"Menidia beryllina, Menidia audens",NA
ESV_067347,Lepomis cyanellus,NA
ESV_067361,Mugil cephalus,NA
ESV_067362,Hypsopsetta guttulata,NA
ESV_067364,Atherinops affinis,NA
ESV_067365,Mugil cephalus,NA
ESV_067366,Mugil cephalus,NA
ESV_067367,Eucyclogobius newberryi,NA
ESV_067368,Gambusia affinis,NA
ESV_009633,Pimephales promelas,NA
ESV_065259,Cottus asper,NA
ESV_033299,Fundulus parvipinnis,NA
ESV_067295,Fundulus parvipinnis,NA
ESV_067303,Fundulus parvipinnis,NA
ESV_067327,Fundulus parvipinnis,NA
ESV_067332,Fundulus parvipinnis,NA
ESV_067342,Fundulus parvipinnis,NA
ESV_067343,Fundulus parvipinnis,NA
ESV_067345,Fundulus parvipinnis,NA
ESV_067363,Fundulus parvipinnis,NA
ESV_067254,"Gila orcuttii, Pimephales promelas",NA
ESV_067258,"Gila orcuttii, Pimephales promelas",NA
ESV_067259,"Gila orcuttii, Pimephales promelas",NA
ESV_067272,"Gillichthys mirabilis, Clevelandia ios, Eucyclogobius newberryi","Ilypnus gilberti, Quietula y-cauda, Acanthogobius flavimanus"
ESV_067289,"Gila orcuttii, Pimephales promelas",NA
ESV_067292,"Gila orcuttii, Pimephales promelas",NA
ESV_067324,"Gila orcuttii, Pimephales promelas",NA
ESV_067334,"Gila orcuttii, Pimephales promelas",NA
ESV_067369,"Gila orcuttii, Pimephales promelas",NA
