"sample_id_fastq","barcoding_id","sample_id","sampling_id","taxonomy","sample_type","sample_type_2","sample_type_3","zone","spot_name","region","region_season","season","body_mass","size_class","sex_state","gut_fullness","standard_length"
"I-F384-B","I_F384_B","I_F384","I55","Siganus_rivulatus","Fish","Siganus_rivulatus","Siganus_rivulatus","Sdot_Yam","Sdot_Yam","Levantine_Sea","Levantine_Sea_Autumn","Autumn",22,"[100,200]",NA,"half_full",115
"I-F389-B","I_F389_B","I_F389","I55","Siganus_rivulatus","Fish","Siganus_rivulatus","Siganus_rivulatus","Sdot_Yam","Sdot_Yam","Levantine_Sea","Levantine_Sea_Autumn","Autumn",56,"[100,200]",NA,"half_full",141
"I-F395-B","I_F395_B","I_F395","I57","Siganus_rivulatus","Fish","Siganus_rivulatus","Siganus_rivulatus","Mikhmoret","Mikhmoret","Levantine_Sea","Levantine_Sea_Autumn","Autumn",31,"[100,200]",NA,"two_third_full",111
"I-F399-B","I_F399_B","I_F399","I57","Siganus_rivulatus","Fish","Siganus_rivulatus","Siganus_rivulatus","Mikhmoret","Mikhmoret","Levantine_Sea","Levantine_Sea_Autumn","Autumn",89,"[100,200]",NA,"full",161
"I-F401-B","I_F401_B","I_F401","I57","Siganus_rivulatus","Fish","Siganus_rivulatus","Siganus_rivulatus","Mikhmoret","Mikhmoret","Levantine_Sea","Levantine_Sea_Autumn","Autumn",60,"[100,200]",NA,"full",144
"I-F403-B","I_F403_B","I_F403","I57","Siganus_rivulatus","Fish","Siganus_rivulatus","Siganus_rivulatus","Mikhmoret","Mikhmoret","Levantine_Sea","Levantine_Sea_Autumn","Autumn",43,"[100,200]",NA,"three_quarter_full",121
"I-F406-B","I_F406_B","I_F406","I57","Siganus_rivulatus","Fish","Siganus_rivulatus","Siganus_rivulatus","Mikhmoret","Mikhmoret","Levantine_Sea","Levantine_Sea_Autumn","Autumn",45,"[100,200]",NA,"two_third_full",128
"I-F407-B","I_F407_B","I_F407","I57","Siganus_rivulatus","Fish","Siganus_rivulatus","Siganus_rivulatus","Mikhmoret","Mikhmoret","Levantine_Sea","Levantine_Sea_Autumn","Autumn",34,"[100,200]",NA,"half_full",118
"I-F408-B","I_F408_B","I_F408","I57","Siganus_rivulatus","Fish","Siganus_rivulatus","Siganus_rivulatus","Mikhmoret","Mikhmoret","Levantine_Sea","Levantine_Sea_Autumn","Autumn",52,"[100,200]",NA,"two_third_full",129
"I-F409-B","I_F409_B","I_F409","I57","Siganus_rivulatus","Fish","Siganus_rivulatus","Siganus_rivulatus","Mikhmoret","Mikhmoret","Levantine_Sea","Levantine_Sea_Autumn","Autumn",44,"[100,200]",NA,"two_third_full",129
"I-M009-B","I_M009_B","I_M009","I09","Padina_pavonica","Algae","Brown_algae","Algae","Sdot_Yam","Sdot_Yam","Levantine_Sea","Levantine_Sea_Spring","Spring",NA,"no_data",NA,NA,NA
"I-M010-B","I_M010_B","I_M010","I10","Red_algae","Algae","Red_algae","Algae","Sdot_Yam","Sdot_Yam","Levantine_Sea","Levantine_Sea_Spring","Spring",NA,"no_data",NA,NA,NA
"I-M011-B","I_M011_B","I_M011","I10","Brown_algae","Algae","Brown_algae","Algae","Sdot_Yam","Sdot_Yam","Levantine_Sea","Levantine_Sea_Spring","Spring",NA,"no_data",NA,NA,NA
"I-M012-B","I_M012_B","I_M012","I10","Brown_algae","Algae","Brown_algae","Algae","Sdot_Yam","Sdot_Yam","Levantine_Sea","Levantine_Sea_Spring","Spring",NA,"no_data",NA,NA,NA
"I-M013-B","I_M013_B","I_M013","I10","Padina_pavonica","Algae","Brown_algae","Algae","Sdot_Yam","Sdot_Yam","Levantine_Sea","Levantine_Sea_Spring","Spring",NA,"no_data",NA,NA,NA
"I-M014-B","I_M014_B","I_M014","I10","Laurencia_obtusa","Algae","Red_algae","Algae","Sdot_Yam","Sdot_Yam","Levantine_Sea","Levantine_Sea_Spring","Spring",NA,"no_data",NA,NA,NA
"I-M015-B","I_M015_B","I_M015","I10","Laurencia_obtusa","Algae","Red_algae","Algae","Sdot_Yam","Sdot_Yam","Levantine_Sea","Levantine_Sea_Spring","Spring",NA,"no_data",NA,NA,NA
"I-M016-B","I_M016_B","I_M016","I10","Laurencia_obtusa","Algae","Red_algae","Algae","Sdot_Yam","Sdot_Yam","Levantine_Sea","Levantine_Sea_Spring","Spring",NA,"no_data",NA,NA,NA
"I-M017-B","I_M017_B","I_M017","I10","Padina_pavonica","Algae","Brown_algae","Algae","Sdot_Yam","Sdot_Yam","Levantine_Sea","Levantine_Sea_Spring","Spring",NA,"no_data",NA,NA,NA
"I-M018-B","I_M018_B","I_M018","I11","Red_algae","Algae","Red_algae","Algae","Mikhmoret","Mikhmoret","Levantine_Sea","Levantine_Sea_Spring","Spring",NA,"no_data",NA,NA,NA
"I-M020-B","I_M020_B","I_M020","I11","Turf_mat","Turf","Turf_mat","Turf","Mikhmoret","Mikhmoret","Levantine_Sea","Levantine_Sea_Spring","Spring",NA,"no_data",NA,NA,NA
"I-M022-B","I_M022_B","I_M022","I11","Turf_mat","Turf","Turf_mat","Turf","Mikhmoret","Mikhmoret","Levantine_Sea","Levantine_Sea_Spring","Spring",NA,"no_data",NA,NA,NA
"I-M024-B","I_M024_B","I_M024","I11","Red_algae","Algae","Red_algae","Algae","Mikhmoret","Mikhmoret","Levantine_Sea","Levantine_Sea_Spring","Spring",NA,"no_data",NA,NA,NA
"I-M133-B","I_M133_B","I_M133","I56","Turf_rock","Turf","Turf_rock","Turf","Sdot_Yam","Sdot_Yam","Levantine_Sea","Levantine_Sea_Autumn","Autumn",NA,"no_data",NA,NA,NA
"I-M134-B","I_M134_B","I_M134","I56","Turf_rock","Turf","Turf_rock","Turf","Sdot_Yam","Sdot_Yam","Levantine_Sea","Levantine_Sea_Autumn","Autumn",NA,"no_data",NA,NA,NA
"I-M135-B","I_M135_B","I_M135","I56","Turf_mat","Turf","Turf_mat","Turf","Sdot_Yam","Sdot_Yam","Levantine_Sea","Levantine_Sea_Autumn","Autumn",NA,"no_data",NA,NA,NA
"I-M136-B","I_M136_B","I_M136","I56","Turf_mat","Turf","Turf_mat","Turf","Sdot_Yam","Sdot_Yam","Levantine_Sea","Levantine_Sea_Autumn","Autumn",NA,"no_data",NA,NA,NA
"I-M137-B","I_M137_B","I_M137","I56","Turf_mat","Turf","Turf_mat","Turf","Sdot_Yam","Sdot_Yam","Levantine_Sea","Levantine_Sea_Autumn","Autumn",NA,"no_data",NA,NA,NA
"I-M138-B","I_M138_B","I_M138","I56","Turf_mat","Turf","Turf_mat","Turf","Sdot_Yam","Sdot_Yam","Levantine_Sea","Levantine_Sea_Autumn","Autumn",NA,"no_data",NA,NA,NA
"I-M139-B","I_M139_B","I_M139","I59","Turf_mat","Turf","Turf_mat","Turf","Sdot_Yam","Sdot_Yam","Levantine_Sea","Levantine_Sea_Autumn","Autumn",NA,"no_data",NA,NA,NA
"I-M141-B","I_M141_B","I_M141","I59","Turf_rock","Turf","Turf_rock","Turf","Sdot_Yam","Sdot_Yam","Levantine_Sea","Levantine_Sea_Autumn","Autumn",NA,"no_data",NA,NA,NA
"I-M142-B","I_M142_B","I_M142","I59","Green_algae","Algae","Green_algae","Algae","Sdot_Yam","Sdot_Yam","Levantine_Sea","Levantine_Sea_Autumn","Autumn",NA,"no_data",NA,NA,NA
"I-W106-B","I_W106_B","I_W106","I56","Water","Water","Water","Water","Sdot_Yam","Sdot_Yam","Levantine_Sea","Levantine_Sea_Autumn","Autumn",NA,"no_data",NA,NA,NA
"I-W107-B","I_W107_B","I_W107","I56","Water","Water","Water","Water","Sdot_Yam","Sdot_Yam","Levantine_Sea","Levantine_Sea_Autumn","Autumn",NA,"no_data",NA,NA,NA
"I-W108-B","I_W108_B","I_W108","I56","Water","Water","Water","Water","Sdot_Yam","Sdot_Yam","Levantine_Sea","Levantine_Sea_Autumn","Autumn",NA,"no_data",NA,NA,NA
"I-W112-B","I_W112_B","I_W112","I58","Water","Water","Water","Water","Mikhmoret","Mikhmoret","Levantine_Sea","Levantine_Sea_Autumn","Autumn",NA,"no_data",NA,NA,NA
"I-W114-B","I_W114_B","I_W114","I58","Water","Water","Water","Water","Mikhmoret","Mikhmoret","Levantine_Sea","Levantine_Sea_Autumn","Autumn",NA,"no_data",NA,NA,NA
"I-W118-B","I_W118_B","I_W118","I59","Water","Water","Water","Water","Sdot_Yam","Sdot_Yam","Levantine_Sea","Levantine_Sea_Autumn","Autumn",NA,"no_data",NA,NA,NA
"I-W119-B","I_W119_B","I_W119","I59","Water","Water","Water","Water","Sdot_Yam","Sdot_Yam","Levantine_Sea","Levantine_Sea_Autumn","Autumn",NA,"no_data",NA,NA,NA
"I-W120-B","I_W120_B","I_W120","I59","Water","Water","Water","Water","Sdot_Yam","Sdot_Yam","Levantine_Sea","Levantine_Sea_Autumn","Autumn",NA,"no_data",NA,NA,NA
"R-B002-B","R_B002_B","R_B002","R01","Sediment","Sediment","Sediment","Sediment","North_beach","Eilat_north_beach","North_Red_Sea","North_Red_Sea_Spring","Spring",NA,"no_data",NA,NA,NA
"R-B003-B","R_B003_B","R_B003","R01","Sediment","Sediment","Sediment","Sediment","North_beach","Eilat_north_beach","North_Red_Sea","North_Red_Sea_Spring","Spring",NA,"no_data",NA,NA,NA
"R-B005-B","R_B005_B","R_B005","R02","Turf_rock","Turf","Turf_rock","Turf","Coral_reef","Eilat_south_beach","North_Red_Sea","North_Red_Sea_Spring","Spring",NA,"no_data",NA,NA,NA
"R-B006-B","R_B006_B","R_B006","R02","Turf_rock","Turf","Turf_rock","Turf","Coral_reef","Eilat_south_beach","North_Red_Sea","North_Red_Sea_Spring","Spring",NA,"no_data",NA,NA,NA
"R-B007-B","R_B007_B","R_B007","R03","Sediment","Sediment","Sediment","Sediment","Coral_reef","Eilat_IUI","North_Red_Sea","North_Red_Sea_Spring","Spring",NA,"no_data",NA,NA,NA
"R-B008-B","R_B008_B","R_B008","R03","Sediment","Sediment","Sediment","Sediment","Coral_reef","Eilat_IUI","North_Red_Sea","North_Red_Sea_Spring","Spring",NA,"no_data",NA,NA,NA
"R-B009-B","R_B009_B","R_B009","R03","Sediment","Sediment","Sediment","Sediment","Coral_reef","Eilat_IUI","North_Red_Sea","North_Red_Sea_Spring","Spring",NA,"no_data",NA,NA,NA
"R-B010-B","R_B010_B","R_B010","R03","Turf_rock","Turf","Turf_rock","Turf","Coral_reef","Eilat_IUI","North_Red_Sea","North_Red_Sea_Spring","Spring",NA,"no_data",NA,NA,NA
"R-B011-B","R_B011_B","R_B011","R03","Turf_rock","Turf","Turf_rock","Turf","Coral_reef","Eilat_IUI","North_Red_Sea","North_Red_Sea_Spring","Spring",NA,"no_data",NA,NA,NA
"R-B012-B","R_B012_B","R_B012","R03","Turf_rock","Turf","Turf_rock","Turf","Coral_reef","Eilat_IUI","North_Red_Sea","North_Red_Sea_Spring","Spring",NA,"no_data",NA,NA,NA
"R-B014-B","R_B014_B","R_B014","R04","Sediment","Sediment","Sediment","Sediment","North_beach","Eilat_north_beach","North_Red_Sea","North_Red_Sea_Spring","Spring",NA,"no_data",NA,NA,NA
"R-B015-B","R_B015_B","R_B015","R04","Sediment","Sediment","Sediment","Sediment","North_beach","Eilat_north_beach","North_Red_Sea","North_Red_Sea_Spring","Spring",NA,"no_data",NA,NA,NA
"R-B016-B","R_B016_B","R_B016","R05","Turf_rock","Turf","Turf_rock","Turf","Coral_reef","Eilat_IUI","North_Red_Sea","North_Red_Sea_Spring","Spring",NA,"no_data",NA,NA,NA
"R-B017-B","R_B017_B","R_B017","R05","Turf_rock","Turf","Turf_rock","Turf","Coral_reef","Eilat_IUI","North_Red_Sea","North_Red_Sea_Spring","Spring",NA,"no_data",NA,NA,NA
"R-B018-B","R_B018_B","R_B018","R05","Turf_rock","Turf","Turf_rock","Turf","Coral_reef","Eilat_IUI","North_Red_Sea","North_Red_Sea_Spring","Spring",NA,"no_data",NA,NA,NA
"R-F001-B","R_F001_B","R_F001","R01","Siganus_rivulatus","Fish","Siganus_rivulatus","Siganus_rivulatus","North_beach","Eilat_north_beach","North_Red_Sea","North_Red_Sea_Spring","Spring",203,"[100,200]","M","half_full",190
"R-F002-B","R_F002_B","R_F002","R01","Siganus_rivulatus","Fish","Siganus_rivulatus","Siganus_rivulatus","North_beach","Eilat_north_beach","North_Red_Sea","North_Red_Sea_Spring","Spring",234,"[100,200]","F","half_full",192
"R-F004-B","R_F004_B","R_F004","R01","Siganus_luridus","Fish","Siganus_luridus","Siganus_luridus","North_beach","Eilat_north_beach","North_Red_Sea","North_Red_Sea_Spring","Spring",440,"> 200","F","full",235
"R-F005-B","R_F005_B","R_F005","R01","Siganus_luridus","Fish","Siganus_luridus","Siganus_luridus","North_beach","Eilat_north_beach","North_Red_Sea","North_Red_Sea_Spring","Spring",295,"> 200","F","full",206
"R-F006-B","R_F006_B","R_F006","R01","Siganus_rivulatus","Fish","Siganus_rivulatus","Siganus_rivulatus","North_beach","Eilat_north_beach","North_Red_Sea","North_Red_Sea_Spring","Spring",281,"> 200","F","full",220
"R-F007-B","R_F007_B","R_F007","R01","Siganus_rivulatus","Fish","Siganus_rivulatus","Siganus_rivulatus","North_beach","Eilat_north_beach","North_Red_Sea","North_Red_Sea_Spring","Spring",142,"[100,200]","F","full",200
"R-F013-B","R_F013_B","R_F013","R03","Siganus_rivulatus","Fish","Siganus_rivulatus","Siganus_rivulatus","Coral_reef","Eilat_IUI","North_Red_Sea","North_Red_Sea_Spring","Spring",196,"> 200","F","full",205
"R-F014-B","R_F014_B","R_F014","R03","Siganus_rivulatus","Fish","Siganus_rivulatus","Siganus_rivulatus","Coral_reef","Eilat_IUI","North_Red_Sea","North_Red_Sea_Spring","Spring",168,"[100,200]","F","full",193
"R-F015-B","R_F015_B","R_F015","R03","Siganus_rivulatus","Fish","Siganus_rivulatus","Siganus_rivulatus","Coral_reef","Eilat_IUI","North_Red_Sea","North_Red_Sea_Spring","Spring",326,"> 200","F","full",245
"R-F016-B","R_F016_B","R_F016","R03","Siganus_rivulatus","Fish","Siganus_rivulatus","Siganus_rivulatus","Coral_reef","Eilat_IUI","North_Red_Sea","North_Red_Sea_Spring","Spring",200,"[100,200]","F","full",200
"R-F017-B","R_F017_B","R_F017","R03","Siganus_rivulatus","Fish","Siganus_rivulatus","Siganus_rivulatus","Coral_reef","Eilat_IUI","North_Red_Sea","North_Red_Sea_Spring","Spring",82,"[100,200]","immature","full",155
"R-F018-B","R_F018_B","R_F018","R03","Siganus_luridus","Fish","Siganus_luridus","Siganus_luridus","Coral_reef","Eilat_IUI","North_Red_Sea","North_Red_Sea_Spring","Spring",148,"[100,200]","F","full",182
"R-F019-B","R_F019_B","R_F019","R03","Siganus_luridus","Fish","Siganus_luridus","Siganus_luridus","Coral_reef","Eilat_IUI","North_Red_Sea","North_Red_Sea_Spring","Spring",142,"[100,200]","M","full",185
"R-F020-B","R_F020_B","R_F020","R03","Siganus_luridus","Fish","Siganus_luridus","Siganus_luridus","Coral_reef","Eilat_IUI","North_Red_Sea","North_Red_Sea_Spring","Spring",163,"[100,200]","F","full",199
"R-F021-B","R_F021_B","R_F021","R03","Siganus_rivulatus","Fish","Siganus_rivulatus","Siganus_rivulatus","Coral_reef","Eilat_IUI","North_Red_Sea","North_Red_Sea_Spring","Spring",272,"> 200","F",NA,240
"R-F024-B","R_F024_B","R_F024","R03","Siganus_luridus","Fish","Siganus_luridus","Siganus_luridus","Coral_reef","Eilat_IUI","North_Red_Sea","North_Red_Sea_Spring","Spring",125,"[100,200]","F",NA,178
"R-F025-B","R_F025_B","R_F025","R03","Siganus_luridus","Fish","Siganus_luridus","Siganus_luridus","Coral_reef","Eilat_IUI","North_Red_Sea","North_Red_Sea_Spring","Spring",173,"[100,200]","F",NA,200
"R-F029-B","R_F029_B","R_F029","R06","Siganus_rivulatus","Fish","Siganus_rivulatus","Siganus_rivulatus","North_beach","Eilat_north_beach","North_Red_Sea","North_Red_Sea_Spring","Spring",339,"> 200","F","full",245
"R-F030-B","R_F030_B","R_F030","R06","Siganus_rivulatus","Fish","Siganus_rivulatus","Siganus_rivulatus","North_beach","Eilat_north_beach","North_Red_Sea","North_Red_Sea_Spring","Spring",51,"[100,200]","immature","full",130
"R-F032-B","R_F032_B","R_F032","R06","Siganus_rivulatus","Fish","Siganus_rivulatus","Siganus_rivulatus","North_beach","Eilat_north_beach","North_Red_Sea","North_Red_Sea_Spring","Spring",41,"[100,200]","immature","only_intestine",123
"R-F033-B","R_F033_B","R_F033","R06","Siganus_rivulatus","Fish","Siganus_rivulatus","Siganus_rivulatus","North_beach","Eilat_north_beach","North_Red_Sea","North_Red_Sea_Spring","Spring",60,"[100,200]","immature","only_intestine",135
"R-F034-B","R_F034_B","R_F034","R06","Siganus_rivulatus","Fish","Siganus_rivulatus","Siganus_rivulatus","North_beach","Eilat_north_beach","North_Red_Sea","North_Red_Sea_Spring","Spring",33,"[100,200]","immature","only_intestine",120
"R-F035-B","R_F035_B","R_F035","R06","Siganus_rivulatus","Fish","Siganus_rivulatus","Siganus_rivulatus","North_beach","Eilat_north_beach","North_Red_Sea","North_Red_Sea_Spring","Spring",36,"[100,200]","immature","only_intestine",120
"R-F036-B","R_F036_B","R_F036","R06","Siganus_rivulatus","Fish","Siganus_rivulatus","Siganus_rivulatus","North_beach","Eilat_north_beach","North_Red_Sea","North_Red_Sea_Spring","Spring",22,"[100,200]","immature","only_intestine",102
"R-F334-B","R_F334_B","R_F334","R49","Siganus_rivulatus","Fish","Siganus_rivulatus","Siganus_rivulatus","Coral_reef","Eilat_IUI","North_Red_Sea","North_Red_Sea_Autumn","Autumn",154,"> 200",NA,"two_third_full",208
"R-F335-B","R_F335_B","R_F335","R49","Siganus_luridus","Fish","Siganus_luridus","Siganus_luridus","Coral_reef","Eilat_IUI","North_Red_Sea","North_Red_Sea_Autumn","Autumn",188,"[100,200]","female","three_quarter_full",197
"R-F336-B","R_F336_B","R_F336","R49","Siganus_rivulatus","Fish","Siganus_rivulatus","Siganus_rivulatus","Coral_reef","Eilat_IUI","North_Red_Sea","North_Red_Sea_Autumn","Autumn",190,"> 200",NA,"full",212
"R-F337-B","R_F337_B","R_F337","R49","Siganus_luridus","Fish","Siganus_luridus","Siganus_luridus","Coral_reef","Eilat_IUI","North_Red_Sea","North_Red_Sea_Autumn","Autumn",210,"> 200","female","two_third_full",203
"R-F338-B","R_F338_B","R_F338","R49","Siganus_luridus","Fish","Siganus_luridus","Siganus_luridus","Coral_reef","Eilat_IUI","North_Red_Sea","North_Red_Sea_Autumn","Autumn",61,"[100,200]","female","half_full",155
