Sample ID,Lake,Collection Date,Point,Replicate,Template volume,Species,Habitat,Detection 
LOWX025,Lake of the Woods,8/17/2021,3,1,1,sw,Nearshore,0
LOWX030,Lake of the Woods,8/17/2021,3,2,3,sw,Nearshore,0
LOWX030,Lake of the Woods,8/17/2021,3,2,1,sw,Nearshore,0
LOWX035,Lake of the Woods,8/17/2021,3,3,3,sw,Nearshore,0
LOWX035,Lake of the Woods,8/17/2021,3,3,1,sw,Nearshore,0
LOWX045,Lake of the Woods,8/18/2021,5,1,3,sw,Nearshore,0
LOWX045,Lake of the Woods,8/18/2021,5,1,1,sw,Nearshore,1
LOWX050,Lake of the Woods,8/18/2021,5,2,3,sw,Nearshore,0
LOWX050,Lake of the Woods,8/18/2021,5,2,1,sw,Nearshore,0
LOWX055,Lake of the Woods,8/18/2021,5,3,3,sw,Nearshore,0
LOWX055,Lake of the Woods,8/18/2021,5,3,1,sw,Nearshore,0
LOWX070,Lake of the Woods,8/17/2021,7,1,3,sw,Offshore,0
LOWX070,Lake of the Woods,8/17/2021,7,1,1,sw,Offshore,0
LOWX075,Lake of the Woods,8/17/2021,7,2,3,sw,Offshore,0
LOWX075,Lake of the Woods,8/17/2021,7,2,1,sw,Offshore,0
LOWX080,Lake of the Woods,8/17/2021,7,3,3,sw,Offshore,0
LOWX080,Lake of the Woods,8/17/2021,7,3,1,sw,Offshore,0
LOWX102,Lake of the Woods,8/17/2021,10,1,3,sw,Offshore,0
LOWX102,Lake of the Woods,8/17/2021,10,1,1,sw,Offshore,0
LOWX107,Lake of the Woods,8/17/2021,10,2,3,sw,Offshore,0
LOWX107,Lake of the Woods,8/17/2021,10,2,1,sw,Offshore,0
LOWX112,Lake of the Woods,8/17/2021,10,3,3,sw,Offshore,0
LOWX112,Lake of the Woods,8/17/2021,10,3,1,sw,Offshore,0
PKEX003,Pike Lake,7/14/2021,1,1,3,sw,Nearshore,NA
PKEX003,Pike Lake,7/14/2021,1,1,1,sw,Nearshore,NA
PKEX008,Pike Lake,7/14/2021,1,2,3,sw,Nearshore,NA
PKEX008,Pike Lake,7/14/2021,1,2,1,sw,Nearshore,NA
PKEX013,Pike Lake,7/14/2021,1,3,3,sw,Nearshore,NA
PKEX013,Pike Lake,7/14/2021,1,3,1,sw,Nearshore,NA
PKEX025,Pike Lake,7/14/2021,3,1,3,sw,Nearshore,NA
PKEX025,Pike Lake,7/14/2021,3,1,1,sw,Nearshore,NA
PKEX030,Pike Lake,7/14/2021,3,2,3,sw,Nearshore,NA
PKEX030,Pike Lake,7/14/2021,3,2,1,sw,Nearshore,NA
PKEX035,Pike Lake,7/14/2021,3,3,3,sw,Nearshore,NA
PKEX035,Pike Lake,7/14/2021,3,3,1,sw,Nearshore,NA
PKEX045,Pike Lake,7/14/2021,5,1,3,sw,Nearshore,NA
PKEX045,Pike Lake,7/14/2021,5,1,1,sw,Nearshore,NA
PKEX050,Pike Lake,7/14/2021,5,2,3,sw,Nearshore,NA
PKEX050,Pike Lake,7/14/2021,5,2,1,sw,Nearshore,NA
PKEX055,Pike Lake,7/14/2021,5,3,3,sw,Nearshore,NA
PKEX055,Pike Lake,7/14/2021,5,3,1,sw,Nearshore,NA
PKEX070,Pike Lake,7/15/2021,7,1,3,sw,Offshore,NA
PKEX070,Pike Lake,7/15/2021,7,1,1,sw,Offshore,NA
PKEX075,Pike Lake,7/15/2021,7,2,3,sw,Offshore,NA
PKEX075,Pike Lake,7/15/2021,7,2,1,sw,Offshore,NA
PKEX080,Pike Lake,7/15/2021,7,3,3,sw,Offshore,NA
PKEX080,Pike Lake,7/15/2021,7,3,1,sw,Offshore,NA
PKEX102,Pike Lake,7/15/2021,10,1,3,sw,Offshore,NA
PKEX102,Pike Lake,7/15/2021,10,1,1,sw,Offshore,NA
PKEX107,Pike Lake,7/15/2021,10,2,3,sw,Offshore,NA
PKEX107,Pike Lake,7/15/2021,10,2,1,sw,Offshore,NA
PKEX112,Pike Lake,7/15/2021,10,3,3,sw,Offshore,NA
PKEX112,Pike Lake,7/15/2021,10,3,1,sw,Offshore,NA
SHGX003,Shagawa Lake,8/2/2021,1,1,3,sw,Nearshore,0
SHGX003,Shagawa Lake,8/2/2021,1,1,1,sw,Nearshore,0
SHGX008,Shagawa Lake,8/2/2021,1,2,3,sw,Nearshore,0
SHGX008,Shagawa Lake,8/2/2021,1,2,1,sw,Nearshore,0
SHGX013,Shagawa Lake,8/2/2021,1,3,3,sw,Nearshore,0
SHGX013,Shagawa Lake,8/2/2021,1,3,1,sw,Nearshore,0
SHGX025,Shagawa Lake,8/2/2021,3,1,3,sw,Nearshore,0
SHGX025,Shagawa Lake,8/2/2021,3,1,1,sw,Nearshore,0
SHGX030,Shagawa Lake,8/2/2021,3,2,3,sw,Nearshore,0
SHGX030,Shagawa Lake,8/2/2021,3,2,1,sw,Nearshore,0
SHGX035,Shagawa Lake,8/2/2021,3,3,3,sw,Nearshore,0
SHGX035,Shagawa Lake,8/2/2021,3,3,1,sw,Nearshore,0
SHGX045,Shagawa Lake,8/2/2021,5,1,3,sw,Nearshore,0
SHGX045,Shagawa Lake,8/2/2021,5,1,1,sw,Nearshore,0
SHGX050,Shagawa Lake,8/2/2021,5,2,3,sw,Nearshore,0
SHGX050,Shagawa Lake,8/2/2021,5,2,1,sw,Nearshore,0
SHGX055,Shagawa Lake,8/2/2021,5,3,3,sw,Nearshore,0
SHGX055,Shagawa Lake,8/2/2021,5,3,1,sw,Nearshore,0
SHGX070,Shagawa Lake,8/3/2021,7,1,3,sw,Offshore,0
SHGX070,Shagawa Lake,8/3/2021,7,1,1,sw,Offshore,0
SHGX075,Shagawa Lake,8/3/2021,7,2,3,sw,Offshore,0
SHGX075,Shagawa Lake,8/3/2021,7,2,1,sw,Offshore,0
SHGX080,Shagawa Lake,8/3/2021,7,3,3,sw,Offshore,0
SHGX080,Shagawa Lake,8/3/2021,7,3,1,sw,Offshore,0
SHGX102,Shagawa Lake,8/3/2021,10,1,3,sw,Offshore,0
SHGX102,Shagawa Lake,8/3/2021,10,1,1,sw,Offshore,0
SHGX107,Shagawa Lake,8/3/2021,10,2,3,sw,Offshore,0
SHGX107,Shagawa Lake,8/3/2021,10,2,1,sw,Offshore,0
SHGX112,Shagawa Lake,8/3/2021,10,3,3,sw,Offshore,0
SHGX112,Shagawa Lake,8/3/2021,10,3,1,sw,Offshore,0
SLEX003,St. Louis River Estuary,8/24/2021,1,1,3,sw,Nearshore,0
SLEX003,St. Louis River Estuary,8/24/2021,1,1,1,sw,Nearshore,0
SLEX008,St. Louis River Estuary,8/24/2021,1,2,3,sw,Nearshore,0
SLEX008,St. Louis River Estuary,8/24/2021,1,2,1,sw,Nearshore,0
SLEX013,St. Louis River Estuary,8/24/2021,1,3,3,sw,Nearshore,0
SLEX013,St. Louis River Estuary,8/24/2021,1,3,1,sw,Nearshore,0
SLEX025,St. Louis River Estuary,8/25/2021,3,1,3,sw,Nearshore,0
SLEX025,St. Louis River Estuary,8/25/2021,3,1,1,sw,Nearshore,0
SLEX030,St. Louis River Estuary,8/25/2021,3,2,3,sw,Nearshore,0
SLEX030,St. Louis River Estuary,8/25/2021,3,2,1,sw,Nearshore,0
SLEX035,St. Louis River Estuary,8/25/2021,3,3,3,sw,Nearshore,0
SLEX035,St. Louis River Estuary,8/25/2021,3,3,1,sw,Nearshore,0
SLEX045,St. Louis River Estuary,8/24/2021,5,1,3,sw,Nearshore,0
SLEX045,St. Louis River Estuary,8/24/2021,5,1,1,sw,Nearshore,0
SLEX050,St. Louis River Estuary,8/24/2021,5,2,3,sw,Nearshore,0
SLEX050,St. Louis River Estuary,8/24/2021,5,2,1,sw,Nearshore,0
SLEX055,St. Louis River Estuary,8/24/2021,5,3,3,sw,Nearshore,0
SLEX055,St. Louis River Estuary,8/24/2021,5,3,1,sw,Nearshore,0
SLEX070,St. Louis River Estuary,8/25/2021,7,1,3,sw,Offshore,0
SLEX070,St. Louis River Estuary,8/25/2021,7,1,1,sw,Offshore,0
SLEX075,St. Louis River Estuary,8/25/2021,7,2,3,sw,Offshore,0
SLEX075,St. Louis River Estuary,8/25/2021,7,2,1,sw,Offshore,0
SLEX080,St. Louis River Estuary,8/25/2021,7,3,3,sw,Offshore,0
SLEX080,St. Louis River Estuary,8/25/2021,7,3,1,sw,Offshore,0
SLEX102,St. Louis River Estuary,8/25/2021,10,1,3,sw,Offshore,0
SLEX102,St. Louis River Estuary,8/25/2021,10,1,1,sw,Offshore,0
SLEX107,St. Louis River Estuary,8/25/2021,10,2,3,sw,Offshore,0
SLEX107,St. Louis River Estuary,8/25/2021,10,2,1,sw,Offshore,0
SLEX112,St. Louis River Estuary,8/25/2021,10,3,3,sw,Offshore,0
SLEX112,St. Louis River Estuary,8/25/2021,10,3,1,sw,Offshore,0
VERX003,Lake Vermilion,7/26/2021,1,1,3,sw,Nearshore,0
VERX003,Lake Vermilion,7/26/2021,1,1,1,sw,Nearshore,0
VERX008,Lake Vermilion,7/26/2021,1,2,3,sw,Nearshore,0
VERX008,Lake Vermilion,7/26/2021,1,2,1,sw,Nearshore,0
VERX013,Lake Vermilion,7/26/2021,1,3,3,sw,Nearshore,0
VERX013,Lake Vermilion,7/26/2021,1,3,1,sw,Nearshore,0
VERX025,Lake Vermilion,7/26/2021,3,1,3,sw,Nearshore,0
VERX025,Lake Vermilion,7/26/2021,3,1,1,sw,Nearshore,0
VERX030,Lake Vermilion,7/26/2021,3,2,3,sw,Nearshore,0
VERX030,Lake Vermilion,7/26/2021,3,2,1,sw,Nearshore,0
VERX035,Lake Vermilion,7/26/2021,3,3,3,sw,Nearshore,0
VERX035,Lake Vermilion,7/26/2021,3,3,1,sw,Nearshore,0
VERX045,Lake Vermilion,7/26/2021,5,1,3,sw,Nearshore,0
VERX045,Lake Vermilion,7/26/2021,5,1,1,sw,Nearshore,0
VERX050,Lake Vermilion,7/26/2021,5,2,3,sw,Nearshore,0
VERX050,Lake Vermilion,7/26/2021,5,2,1,sw,Nearshore,0
VERX055,Lake Vermilion,7/26/2021,5,3,3,sw,Nearshore,0
VERX055,Lake Vermilion,7/26/2021,5,3,1,sw,Nearshore,0
VERX070,Lake Vermilion,7/27/2021,7,1,3,sw,Offshore,0
VERX070,Lake Vermilion,7/27/2021,7,1,1,sw,Offshore,0
VERX075,Lake Vermilion,7/27/2021,7,2,3,sw,Offshore,0
VERX075,Lake Vermilion,7/27/2021,7,2,1,sw,Offshore,0
VERX080,Lake Vermilion,7/27/2021,7,3,3,sw,Offshore,0
VERX080,Lake Vermilion,7/27/2021,7,3,1,sw,Offshore,0
VERX102,Lake Vermilion,7/27/2021,10,1,3,sw,Offshore,0
VERX102,Lake Vermilion,7/27/2021,10,1,1,sw,Offshore,0
VERX107,Lake Vermilion,7/27/2021,10,2,3,sw,Offshore,0
VERX107,Lake Vermilion,7/27/2021,10,2,1,sw,Offshore,0
VERX112,Lake Vermilion,7/27/2021,10,3,3,sw,Offshore,0
VERX112,Lake Vermilion,7/27/2021,10,3,1,sw,Offshore,0
LOWX003,Lake of the Woods,8/17/2021,1,1,3,zm,Nearshore,0
LOWX003,Lake of the Woods,8/17/2021,1,1,1,zm,Nearshore,0
LOWX008,Lake of the Woods,8/17/2021,1,2,3,zm,Nearshore,0
LOWX008,Lake of the Woods,8/17/2021,1,2,1,zm,Nearshore,0
LOWX013,Lake of the Woods,8/17/2021,1,3,3,zm,Nearshore,0
LOWX013,Lake of the Woods,8/17/2021,1,3,1,zm,Nearshore,0
LOWX025,Lake of the Woods,8/17/2021,3,1,3,zm,Nearshore,0
LOWX025,Lake of the Woods,8/17/2021,3,1,1,zm,Nearshore,0
LOWX030,Lake of the Woods,8/17/2021,3,2,3,zm,Nearshore,0
LOWX030,Lake of the Woods,8/17/2021,3,2,1,zm,Nearshore,0
LOWX035,Lake of the Woods,8/17/2021,3,3,3,zm,Nearshore,0
LOWX035,Lake of the Woods,8/17/2021,3,3,1,zm,Nearshore,0
LOWX045,Lake of the Woods,8/18/2021,5,1,3,zm,Nearshore,0
LOWX045,Lake of the Woods,8/18/2021,5,1,1,zm,Nearshore,0
LOWX050,Lake of the Woods,8/18/2021,5,2,3,zm,Nearshore,0
LOWX050,Lake of the Woods,8/18/2021,5,2,1,zm,Nearshore,0
LOWX055,Lake of the Woods,8/18/2021,5,3,3,zm,Nearshore,0
LOWX055,Lake of the Woods,8/18/2021,5,3,1,zm,Nearshore,0
LOWX075,Lake of the Woods,8/17/2021,7,2,3,zm,Offshore,0
LOWX075,Lake of the Woods,8/17/2021,7,2,1,zm,Offshore,0
LOWX080,Lake of the Woods,8/17/2021,7,3,3,zm,Offshore,0
LOWX080,Lake of the Woods,8/17/2021,7,3,1,zm,Offshore,0
LOWX102,Lake of the Woods,8/17/2021,10,1,3,zm,Offshore,0
LOWX102,Lake of the Woods,8/17/2021,10,1,1,zm,Offshore,0
LOWX107,Lake of the Woods,8/17/2021,10,2,3,zm,Offshore,0
LOWX107,Lake of the Woods,8/17/2021,10,2,1,zm,Offshore,1
LOWX112,Lake of the Woods,8/17/2021,10,3,3,zm,Offshore,0
LOWX112,Lake of the Woods,8/17/2021,10,3,1,zm,Offshore,0
PKEX003,Pike Lake,7/14/2021,1,1,3,zm,Nearshore,1
PKEX003,Pike Lake,7/14/2021,1,1,1,zm,Nearshore,1
PKEX008,Pike Lake,7/14/2021,1,2,3,zm,Nearshore,1
PKEX008,Pike Lake,7/14/2021,1,2,1,zm,Nearshore,1
PKEX013,Pike Lake,7/14/2021,1,3,3,zm,Nearshore,1
PKEX013,Pike Lake,7/14/2021,1,3,1,zm,Nearshore,0
PKEX025,Pike Lake,7/14/2021,3,1,3,zm,Nearshore,1
PKEX025,Pike Lake,7/14/2021,3,1,1,zm,Nearshore,0
PKEX030,Pike Lake,7/14/2021,3,2,3,zm,Nearshore,1
PKEX030,Pike Lake,7/14/2021,3,2,1,zm,Nearshore,1
PKEX035,Pike Lake,7/14/2021,3,3,3,zm,Nearshore,0
PKEX035,Pike Lake,7/14/2021,3,3,1,zm,Nearshore,1
PKEX045,Pike Lake,7/14/2021,5,1,3,zm,Nearshore,1
PKEX045,Pike Lake,7/14/2021,5,1,1,zm,Nearshore,1
PKEX050,Pike Lake,7/14/2021,5,2,3,zm,Nearshore,1
PKEX050,Pike Lake,7/14/2021,5,2,1,zm,Nearshore,1
PKEX055,Pike Lake,7/14/2021,5,3,3,zm,Nearshore,1
PKEX055,Pike Lake,7/14/2021,5,3,1,zm,Nearshore,1
PKEX070,Pike Lake,7/15/2021,7,1,3,zm,Offshore,1
PKEX070,Pike Lake,7/15/2021,7,1,1,zm,Offshore,1
PKEX075,Pike Lake,7/15/2021,7,2,3,zm,Offshore,1
PKEX075,Pike Lake,7/15/2021,7,2,1,zm,Offshore,1
PKEX080,Pike Lake,7/15/2021,7,3,3,zm,Offshore,1
PKEX080,Pike Lake,7/15/2021,7,3,1,zm,Offshore,1
PKEX102,Pike Lake,7/15/2021,10,1,3,zm,Offshore,0
PKEX102,Pike Lake,7/15/2021,10,1,1,zm,Offshore,1
PKEX107,Pike Lake,7/15/2021,10,2,3,zm,Offshore,0
PKEX107,Pike Lake,7/15/2021,10,2,1,zm,Offshore,0
PKEX112,Pike Lake,7/15/2021,10,3,3,zm,Offshore,0
PKEX112,Pike Lake,7/15/2021,10,3,1,zm,Offshore,1
SLEX003,St. Louis River Estuary,8/24/2021,1,1,3,zm,Nearshore,1
SLEX003,St. Louis River Estuary,8/24/2021,1,1,1,zm,Nearshore,1
SLEX008,St. Louis River Estuary,8/24/2021,1,2,3,zm,Nearshore,1
SLEX008,St. Louis River Estuary,8/24/2021,1,2,1,zm,Nearshore,1
SLEX013,St. Louis River Estuary,8/24/2021,1,3,3,zm,Nearshore,1
SLEX013,St. Louis River Estuary,8/24/2021,1,3,1,zm,Nearshore,1
SLEX025,St. Louis River Estuary,8/25/2021,3,1,3,zm,Nearshore,1
SLEX025,St. Louis River Estuary,8/25/2021,3,1,1,zm,Nearshore,1
SLEX030,St. Louis River Estuary,8/25/2021,3,2,3,zm,Nearshore,1
SLEX030,St. Louis River Estuary,8/25/2021,3,2,1,zm,Nearshore,0
SLEX035,St. Louis River Estuary,8/25/2021,3,3,3,zm,Nearshore,1
SLEX035,St. Louis River Estuary,8/25/2021,3,3,1,zm,Nearshore,0
SLEX045,St. Louis River Estuary,8/24/2021,5,1,3,zm,Nearshore,1
SLEX045,St. Louis River Estuary,8/24/2021,5,1,1,zm,Nearshore,1
SLEX050,St. Louis River Estuary,8/24/2021,5,2,3,zm,Nearshore,1
SLEX050,St. Louis River Estuary,8/24/2021,5,2,1,zm,Nearshore,1
SLEX055,St. Louis River Estuary,8/24/2021,5,3,3,zm,Nearshore,0
SLEX055,St. Louis River Estuary,8/24/2021,5,3,1,zm,Nearshore,0
SLEX070,St. Louis River Estuary,8/25/2021,7,1,3,zm,Offshore,0
SLEX070,St. Louis River Estuary,8/25/2021,7,1,1,zm,Offshore,1
SLEX075,St. Louis River Estuary,8/25/2021,7,2,3,zm,Offshore,0
SLEX075,St. Louis River Estuary,8/25/2021,7,2,1,zm,Offshore,1
SLEX080,St. Louis River Estuary,8/25/2021,7,3,3,zm,Offshore,0
SLEX080,St. Louis River Estuary,8/25/2021,7,3,1,zm,Offshore,0
SLEX102,St. Louis River Estuary,8/25/2021,10,1,3,zm,Offshore,0
SLEX102,St. Louis River Estuary,8/25/2021,10,1,1,zm,Offshore,1
SLEX107,St. Louis River Estuary,8/25/2021,10,2,3,zm,Offshore,0
SLEX107,St. Louis River Estuary,8/25/2021,10,2,1,zm,Offshore,1
SLEX112,St. Louis River Estuary,8/25/2021,10,3,3,zm,Offshore,0
SLEX112,St. Louis River Estuary,8/25/2021,10,3,1,zm,Offshore,1
VERX003,Lake Vermilion,7/26/2021,1,1,3,zm,Nearshore,NA
